2018-04-07 00:00:00.000,KSA USPSA Apr 7  2018,Level I,Kaitlyn,Thursby,Single Stack,91.36329008637449,2,2
2018-04-28 00:00:00.000,Castlewood April 2018 USPSA Match,Level I,Jenn,DeFazio,Limited,99.64837448352772,2,22
2018-05-05 00:00:00.000,KSA USPSA May 2018,Level I,Michele,Crawford,Open,98.56579138680482,2,4
2018-05-12 00:00:00.000,Shadow Hawk USPSA May 12  2018,Level I,Ian,Meyers,PCC,100.0,1,14
2018-05-15 00:00:00.000,2018 Berry’s USPSA Area 1 Championship,Level I,Ashley,Rheuark,Production,95.13642191666038,3,60
2018-06-02 00:00:00.000,Gem City Gun Club 6-2 and 6-3,Level I,Jeff,Morse,Open,95.87275073481723,4,18
2018-06-02 00:00:00.000,LPRGC - Lower Providence USPSA June 2018,Level I,Matt,Olinchak,Production,100.0,1,14
2018-06-03 00:00:00.000,FBURG Flood June 3 2018,Level I,Mia,Farinelli,PCC,100.0,1,4
2018-06-09 00:00:00.000,LCSA USPSA JUNE 2018,Level I,Heather,Maslonek,PCC,97.84037530289511,2,9
2018-06-10 00:00:00.000,NHRPC - June 2018 USPSA,Level I,Annette,Evans,Carry Optics,91.61760751140334,2,5
2018-06-15 00:00:00.000,LIMCAT CUSTOM OPTICS AND IRON SIGHT CHALLENGE  2018,Level II,Kimberly,Barry,Single Stack,91.18260281330599,2,4
2018-06-30 00:00:00.000,LCSA USPSA ALL CLASSIFIER,Level I,Jenn,DeFazio,Limited,95.49593518702409,2,24
2018-07-01 00:00:00.000,FBURG July 2018 Level I USPSA,Level I,Ryan,Clements,Limited,100.0,1,36
2018-07-28 00:00:00.000,Castlewood July 2018 USPSA Match,Level I,Jenn,DeFazio,Limited,92.54979909422076,3,24
2018-08-04 00:00:00.000,LPRGC - Lower Providence USPSA August 2018,Level I,Linda,Mitchell,Single Stack,96.97402058698256,2,4
2018-08-10 00:00:00.000,2018 Columbia Cascade Section Championship,Level II,Mikayla,Blosser,Limited,91.76900867034475,6,33
2018-08-18 00:00:00.000,WSPS AUGUST 2018 USPSA MATCH,Level I,Jeanice,Naulty,Revolver,93.43649263566824,2,6
2018-08-26 00:00:00.000,EHPSA USPSA 26 August 2018,Level I,Linda,Dorisio,PCC,100.0,1,8
2018-08-26 00:00:00.000,EHPSA USPSA 26 August 2018,Level I,Linda,Dorisio,PCC,91.24579316648774,5,8
2018-08-30 00:00:00.000,Berrys 2018 Utah State USPSA Championship,Level II,Justine,Williams,Production,98.95998330750459,2,39
2018-08-30 00:00:00.000,Berrys 2018 Utah State USPSA Championship,Level II,Jalise,Williams,Single Stack,95.26521881795638,3,9
2018-09-01 00:00:00.000,FBURG September 2018 Level I USPSA,Level I,Megan,Francisco,Open,91.99941483818877,2,9
2018-09-01 00:00:00.000,LPRGC - Lower Providence USPSA September 2018,Level I,Jeanice,Naulty,Revolver,93.94296795702473,3,3
2018-09-09 00:00:00.000,MID11 Factoryville September 9 2018,Level I,stacey,frezzolini,Open,97.09954747744037,2,9
