id,ordinalMu,score,marbles,events
198,1.7186449888844528,290.8034729348209,350,3
66,1.5219058759175939,275.03980042775925,301,3
161,1.4623637439340929,151.10047437928174,268,2
141,1.4245837184663461,243.27292623521967,299,4
83,1.3848410333544072,242.9029776327032,293,4
6,1.3473321134101244,208.64681988438605,279,3
47,1.3458974890311388,144.8473503943545,263,2
138,1.3168473024112712,201.8519475671355,273,3
52,1.2752056633414106,195.3649065072838,268,3
150,1.2720561650978486,208.245846297975,253,3
185,1.2709127275558922,163.9442306457559,255,2
146,1.259781723170411,133.37523892083382,231,2
106,1.2322502483327147,246.43753513001184,304,4
92,1.191293271940093,211.37744875007567,269,4
130,1.1864899308729098,200.65143738929916,260,4
170,1.177410755836583,231.01091714887568,272,4
73,1.1579372810644464,201.29962932263044,249,3
195,1.1562234009998054,191.6520956377617,243,3
115,1.1524542568953093,196.0027521670043,258,4
81,1.149219740568395,210.7453643067629,261,3
37,1.1194138572313488,190.5856563801952,240,3
112,1.11718947864662,129.72062074824873,223,2
148,1.1056515225190198,128.55552047121853,227,2
100,1.0939018712551565,195.82850564546212,243,3
137,1.0640592804119355,181.87158521488888,234,3
54,1.0518975108879216,118.45744327134695,239,2
162,1.0453614375940774,195.76790319118402,245,3
117,1.0440507686977125,173.85971017990397,223,4
60,1.0388395720808214,114.17460382221589,213,2
4,1.0359814759621702,194.26152102233053,244,3
19,1.0250812813924166,189.45058125674637,244,4
113,1.023555795096397,184.95960901379178,236,4
71,1.017288929779624,131.43298233029702,225,2
24,1.0154580781901144,145.4595054414988,236,2
101,1.0149540732286666,179.67014847792532,232,3
193,1.0079535384943488,106.01332808368917,226,2
42,1.002120590995749,168.8853542151848,229,3
49,0.9880465331203814,154.21645572514757,232,3
142,0.9868030737168969,171.18642368282536,226,4
22,0.9809874367547464,172.84872713623616,228,3
67,0.9784946950202866,166.25891398336597,223,3
68,0.9755007815748368,159.50258974504885,218,3
36,0.9673587192137346,171.58606782777179,231,4
43,0.9667675198383416,170.15742069783306,225,3
84,0.9659131363188795,192.4836064028318,249,4
135,0.9652634228094995,169.28783871833528,221,4
15,0.9623340478497812,165.00335061498896,222,4
35,0.9611508892647842,163.41509819701355,223,3
31,0.9580886831716079,164.98499679611677,222,4
50,0.9554589221824292,137.58303532841794,201,3
179,0.9539705864252906,182.25022470057954,232,4
190,0.9520971852684974,166.18334228406638,228,4
134,0.9435916492110096,191.46658397280024,249,4
62,0.9342731650575755,98.19817570413224,219,2
160,0.930013316900788,154.96130744685743,214,3
72,0.9292933175645992,175.40853570258147,230,3
13,0.9278212691616884,156.21408166179776,220,4
3,0.9268604166758154,155.93065689028418,217,3
194,0.926079218259518,137.55263586312972,219,3
46,0.921285360164074,167.50904396883465,224,3
1,0.9164171491394003,170.3906779827608,222,4
166,0.9142145854658221,173.21869140380844,229,3
149,0.904060415272843,128.35826404814168,211,3
191,0.9033219731177728,104.20414242607094,208,2
61,0.8978584288655459,183.7280352518156,233,4
12,0.8942115877979413,153.42514382096897,205,4
136,0.8937249468891039,165.8320033773066,227,4
86,0.8884754573307623,103.02044053318107,207,2
93,0.8833409857987546,157.54781947468115,213,4
178,0.8812215304524414,150.8656141205061,212,3
143,0.8784390008411517,151.7696477629237,205,4
69,0.8646785720149723,181.4674233256783,234,4
168,0.8622458791240546,152.46779426059499,212,4
199,0.8596721063028967,136.83340941640577,202,3
85,0.8537633599817752,153.60628324266247,214,4
189,0.8438460595668352,136.9467354949666,218,3
40,0.8433194489526282,140.66856002973628,204,3
155,0.8405380820394291,152.7272994085639,212,3
96,0.8397843348539077,115.3577588032326,199,3
5,0.838530761659229,182.86288301693918,234,4
163,0.8374710357297894,127.02817941134211,209,3
89,0.8363227854902556,146.16853183993743,209,4
76,0.8356763176418975,184.06932236469805,235,4
53,0.8313655114187626,149.2030545868768,210,3
147,0.8284535263567929,143.53528061815433,206,4
95,0.8275829070381964,160.9599095322134,219,3
109,0.8147485472247593,141.08399577727806,197,4
122,0.8136000236806673,135.60979728013973,197,4
116,0.8094930635313533,169.7468037203168,226,3
99,0.8002399731840513,103.38990740554158,192,3
27,0.7975004321616133,155.35865300344034,216,3
197,0.7950539115839235,154.20858254382472,213,4
173,0.79339946943674,144.29713404410217,208,3
102,0.7932117998999695,146.12913893167303,228,3
74,0.7909191223451176,139.36453024246188,219,3
140,0.7767045701106463,107.75951299578875,193,3
33,0.7645708021520381,135.8085858247363,198,4
97,0.7639050341578688,120.23743447859515,188,3
20,0.7636784762280909,108.8751200055994,184,3
55,0.7611531928668998,137.8117477675144,219,3
165,0.7528794681501655,122.64375279152159,186,4
181,0.7436472081571945,117.06108444101832,202,3
57,0.7395270702613035,116.07240954324618,186,3
25,0.7383656414441498,116.48792935986945,188,3
7,0.73687417297614,140.93974658768838,203,3
129,0.7355427708227479,113.87657700686039,184,3
123,0.726303876331451,138.59064631284343,199,4
188,0.7219407181456758,143.56992480925243,201,4
88,0.7205082765993635,62.23877731248336,188,2
174,0.7170987769920136,133.08573440091484,200,3
17,0.7039708389914604,97.03263484939612,200,2
98,0.7036048243548966,140.89862729270862,196,4
133,0.7032717756810881,128.7707289153721,197,3
186,0.6999608278917546,104.41636265696077,179,3
184,0.6893149893834808,113.72177973752122,198,3
131,0.6889185602504985,136.39116192200132,195,4
187,0.6836591887867014,88.15180926580318,194,2
169,0.6834585735578612,118.13718117468294,188,3
80,0.6830162983314261,121.33620209082274,186,4
196,0.6737168599151966,76.63525180274665,186,2
78,0.6725439643136076,141.70275910486146,201,4
38,0.6688340739361807,130.1335424652759,199,3
121,0.6660862953063786,130.01572651948229,193,4
108,0.6595505491475488,81.4569548427423,188,2
126,0.6505763833130729,82.03432400297146,173,3
29,0.6462851256359379,110.57069074006051,169,4
21,0.6453153215580258,122.89419273972572,206,3
45,0.6378097746109586,116.50871297006651,178,4
114,0.6360598156445054,114.3995623549888,176,4
172,0.6312366717438518,133.40643037011222,198,4
177,0.6296939757945421,90.41711337491137,179,3
26,0.6291444935161157,120.86894480730372,204,3
156,0.6291433772821813,103.85082925892037,179,3
127,0.6209241976576745,140.32522100659105,200,4
18,0.6194401395365577,120.30298426543754,181,4
107,0.6184919498188898,103.54978527452607,165,4
145,0.6155941587768236,89.78385868396683,193,2
91,0.6150762278652908,77.82049254931397,200,2
124,0.6135615202942958,115.94468014452814,184,4
192,0.6072963804380576,90.70401586326369,179,3
9,0.6057683120075349,98.75905977682649,167,4
144,0.6039880730220193,119.12711574250326,177,4
51,0.6037304246088651,96.9440994948113,163,4
70,0.6022375522212301,92.08428644888579,169,3
77,0.5923761480254935,95.50239379752541,173,3
125,0.5913679728828504,143.75013241341566,199,4
10,0.5909796898598206,163.65122001128768,213,4
151,0.5863268188095728,145.2226733778756,207,3
183,0.5848334409912583,79.85783327948299,171,3
182,0.5820103491994302,112.67963739941594,174,4
104,0.5777156172230318,100.4007278056934,177,3
39,0.573319230653189,113.33646915553143,175,4
176,0.5519340777498414,106.81646924325801,173,4
120,0.5485510593038558,76.0204942719679,157,3
23,0.5467233665969338,81.33144678250824,174,3
64,0.5439209706781284,83.95093959269657,154,4
158,0.5433868425051662,139.39847710038498,185,4
59,0.5366221823132358,89.44651626512155,155,4
164,0.5356403852333659,65.3156129523016,158,3
56,0.5329331710780139,85.64448373270628,192,2
159,0.5244823725857672,90.72393670786882,168,3
48,0.5232616433950903,68.38548745074013,162,3
154,0.5147754880644516,60.21195798664096,154,3
105,0.49933960046755793,79.89556358758634,146,4
103,0.49376254163363903,95.40898297096244,159,4
63,0.4936571570845665,24.207004326068372,186,1
90,0.4907058668904425,32.742824914782645,130,3
180,0.4889071218651685,99.82016557419287,163,4
14,0.4676246530010998,106.06865039729033,165,4
75,0.45430298493981713,54.843883143909025,149,3
153,0.4522316282498961,65.18630314005175,138,4
132,0.44422318265261335,61.2762831216925,147,3
44,0.43944987684663445,79.03739463200432,203,2
118,0.438475273883628,102.63466266201971,176,3
175,0.4319425048663358,34.26626988822112,160,2
128,0.42509982179159733,59.17861206380996,154,3
157,0.4175763437053615,101.90389361190933,177,3
32,0.4057250680668391,63.44987666118635,148,3
139,0.38250576030630096,35.1363034692248,134,3
110,0.37714884582812624,29.14111605248671,155,2
2,0.36446510710500696,83.57899546463342,149,4
28,0.3543972021075892,74.01423803450179,142,4
171,0.3542339716816056,69.179226308675,135,4
82,0.34572516160807903,92.04313252814111,152,4
11,0.3294429878328317,36.90026859299147,111,4
167,0.32621234083802064,48.44621272596228,119,4
30,0.3261217418599801,57.51312597557584,124,4
119,0.31618153922100367,7.665909075512249,168,1
152,0.3014461651461175,64.71421793424233,151,3
16,0.2996855406355556,76.05603010180154,134,4
111,0.2829270178060915,25.08881097586919,145,2
34,0.2797287418911031,46.35605514297728,116,4
41,0.2683240319093086,16.278173471160883,141,2
0,0.24051891665856392,34.1275401419073,108,4
87,0.218656287698499,40.1932898558672,131,3
79,0.20239905278030107,24.688973053922208,125,3
94,0.19754597241632987,29.20219114048236,126,3
8,0.17442478826756475,79.0311190922819,158,3
65,0.10439916984357817,5.725408487014337,107,3
58,0.052141079252500944,36.830657701415845,108,4
