scope,mode,algorithm,project,group,bucket,n,mape,mpe,mpe_arith,mae,crps,rank_mae,coverage_1sigma,coverage_2sigma
overall,all,LLR,,,,2949,0.083269,-0.015465,-0.017912,0.047618,0.035390,15.674127,0.591387,0.866056
overall,rated-only,LLR,,,,2949,0.083130,-0.012966,-0.015393,0.047769,0.035496,10.140047,0.586979,0.865039
group,all,LLR,L2s Main LLR Backtesting,Open,,532,0.105055,-0.042908,-0.045228,0.047752,0.036098,9.556391,0.609023,0.889098
group,rated-only,LLR,L2s Main LLR Backtesting,Open,,532,0.105025,-0.042703,-0.044994,0.047745,0.036099,7.522556,0.607143,0.885338
group,all,LLR,L2s Main LLR Backtesting,Limited,,74,0.120905,-0.020490,-0.024072,0.073591,0.056174,2.148649,0.432432,0.770270
group,rated-only,LLR,L2s Main LLR Backtesting,Limited,,74,0.121822,0.016446,0.013001,0.077735,0.059706,1.229730,0.364865,0.702703
group,all,LLR,L2s Main LLR Backtesting,PCC,,326,0.075990,-0.017006,-0.018894,0.045092,0.033650,5.914110,0.564417,0.831288
group,rated-only,LLR,L2s Main LLR Backtesting,PCC,,327,0.075801,-0.016979,-0.018851,0.045024,0.033595,4.480122,0.565749,0.834862
group,all,LLR,L2s Main LLR Backtesting,Limited Optics,,711,0.077197,-0.000509,-0.003077,0.049410,0.035784,23.879044,0.582278,0.876231
group,rated-only,LLR,L2s Main LLR Backtesting,Limited Optics,,711,0.077310,0.004531,0.001977,0.050064,0.036149,9.461322,0.566807,0.880450
group,all,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.073752,-0.005917,-0.008107,0.044789,0.033361,19.840367,0.599083,0.865138
group,rated-only,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.073229,-0.004990,-0.007169,0.044475,0.033162,15.822936,0.602752,0.865138
group,all,LLR,L2s Main LLR Backtesting,Production,,101,0.085302,-0.040545,-0.043121,0.046921,0.036102,2.386139,0.673267,0.841584
group,rated-only,LLR,L2s Main LLR Backtesting,Production,,101,0.085288,-0.040620,-0.043207,0.046898,0.036097,1.990099,0.673267,0.841584
group,all,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.119359,-0.040562,-0.047482,0.057866,0.043412,1.940299,0.611940,0.880597
group,rated-only,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.119770,-0.041806,-0.048592,0.057932,0.043464,1.761194,0.611940,0.880597
group,all,LLR,L2s Main LLR Backtesting,Revolver,,42,0.079933,-0.037513,-0.040008,0.043067,0.030838,1.571429,0.571429,0.904762
group,rated-only,LLR,L2s Main LLR Backtesting,Revolver,,41,0.081758,-0.037923,-0.040411,0.044072,0.031490,1.121951,0.560976,0.902439
group,all,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.117382,-0.086332,-0.096617,0.083454,0.062951,1.833333,0.666667,0.833333
group,rated-only,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.116390,-0.084498,-0.094813,0.082849,0.062167,1.000000,0.666667,0.833333
finish_quintile,all,LLR,,,top 20%,658,0.049039,0.030889,0.029110,0.043367,0.030996,6.996960,0.691489,0.930091
finish_quintile,all,LLR,,,20-40%,650,0.057671,0.020279,0.018253,0.044395,0.032491,12.886154,0.626154,0.893846
finish_quintile,all,LLR,,,40-60%,620,0.061971,0.009187,0.007003,0.042509,0.030545,16.567742,0.603226,0.898387
finish_quintile,all,LLR,,,60-80%,565,0.074235,-0.008718,-0.011238,0.044447,0.032560,18.672566,0.541593,0.856637
finish_quintile,all,LLR,,,bottom 20%,456,0.209300,-0.175181,-0.179461,0.069224,0.055956,27.239035,0.442982,0.701754
finish_quintile,rated-only,LLR,,,top 20%,570,0.048848,0.033117,0.031404,0.043577,0.031357,7.292982,0.685965,0.921053
finish_quintile,rated-only,LLR,,,20-40%,601,0.055780,0.024505,0.022535,0.044078,0.032052,11.737105,0.623960,0.911814
finish_quintile,rated-only,LLR,,,40-60%,613,0.063134,0.017936,0.015810,0.044491,0.032172,12.765090,0.592170,0.880914
finish_quintile,rated-only,LLR,,,60-80%,604,0.067123,0.000976,-0.001440,0.041861,0.030068,10.231788,0.577815,0.877483
finish_quintile,rated-only,LLR,,,bottom 20%,561,0.186346,-0.148707,-0.152689,0.065925,0.052868,8.354724,0.450980,0.727273
rating_quintile,all,LLR,,,top 20%,747,0.057736,-0.010950,-0.012805,0.042635,0.031591,10.374833,0.705489,0.933066
rating_quintile,all,LLR,,,20-40%,782,0.066601,-0.006854,-0.009048,0.046296,0.033860,16.599744,0.634271,0.906650
rating_quintile,all,LLR,,,40-60%,760,0.094705,-0.011277,-0.013711,0.050697,0.037815,19.415789,0.522368,0.830263
rating_quintile,all,LLR,,,60-80%,531,0.105461,-0.022549,-0.025756,0.050337,0.037826,17.465160,0.512241,0.802260
rating_quintile,all,LLR,,,bottom 20%,129,0.173434,-0.089324,-0.093688,0.055161,0.042349,11.333333,0.403101,0.705426
rating_quintile,rated-only,LLR,,,top 20%,561,0.055287,-0.009088,-0.010802,0.041255,0.030879,7.629234,0.720143,0.937611
rating_quintile,rated-only,LLR,,,20-40%,595,0.061892,-0.005225,-0.007258,0.044984,0.032722,11.769748,0.633613,0.919328
