scope,mode,algorithm,project,group,bucket,n,mape,mpe,mpe_arith,mae,crps,rank_mae,coverage_1sigma,coverage_2sigma
overall,all,LLR,,,,2953,0.083075,-0.012069,-0.014931,0.047912,0.035415,15.704707,0.624111,0.882492
overall,rated-only,LLR,,,,2954,0.082852,-0.009587,-0.012430,0.047992,0.035485,10.160799,0.622884,0.884225
group,all,LLR,L2s Main LLR Backtesting,Open,,532,0.104890,-0.040788,-0.043479,0.047979,0.036149,9.518797,0.646617,0.896617
group,rated-only,LLR,L2s Main LLR Backtesting,Open,,532,0.104898,-0.040748,-0.043429,0.047987,0.036154,7.496241,0.646617,0.896617
group,all,LLR,L2s Main LLR Backtesting,Limited,,75,0.119076,-0.017540,-0.022287,0.073777,0.055815,2.146667,0.493333,0.773333
group,rated-only,LLR,L2s Main LLR Backtesting,Limited,,75,0.117486,0.020944,0.016448,0.075642,0.057506,1.173333,0.453333,0.760000
group,all,LLR,L2s Main LLR Backtesting,PCC,,328,0.076058,-0.014429,-0.016558,0.045480,0.033739,6.003049,0.591463,0.847561
group,rated-only,LLR,L2s Main LLR Backtesting,PCC,,329,0.075896,-0.014455,-0.016582,0.045426,0.033681,4.583587,0.589666,0.848024
group,all,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.076178,0.002760,-0.000237,0.049016,0.035266,23.714888,0.622191,0.900281
group,rated-only,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.076262,0.008045,0.005099,0.049646,0.035670,9.362360,0.612360,0.903090
group,all,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.074138,-0.000987,-0.003638,0.045498,0.033715,20.029358,0.630275,0.881651
group,rated-only,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.073635,-0.000373,-0.003031,0.045184,0.033539,15.949541,0.635780,0.885321
group,all,LLR,L2s Main LLR Backtesting,Production,,101,0.086358,-0.038629,-0.041842,0.047841,0.036455,2.425743,0.702970,0.861386
group,rated-only,LLR,L2s Main LLR Backtesting,Production,,101,0.086394,-0.038748,-0.041979,0.047862,0.036490,1.990099,0.712871,0.861386
group,all,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.119327,-0.049120,-0.055224,0.057310,0.043271,2.134328,0.582090,0.880597
