scope,mode,algorithm,project,group,bucket,n,mape,mpe,mpe_arith,mae,crps,rank_mae,coverage_1sigma,coverage_2sigma
overall,all,LLR,,,,2949,0.083251,-0.015192,-0.017684,0.047623,0.035381,15.689386,0.592404,0.869786
overall,rated-only,LLR,,,,2950,0.083087,-0.012732,-0.015216,0.047760,0.035478,10.148475,0.588814,0.867797
group,all,LLR,L2s Main LLR Backtesting,Open,,532,0.105030,-0.041947,-0.044379,0.047788,0.036104,9.614662,0.610902,0.889098
group,rated-only,LLR,L2s Main LLR Backtesting,Open,,532,0.105055,-0.042033,-0.044478,0.047801,0.036113,7.520677,0.610902,0.889098
group,all,LLR,L2s Main LLR Backtesting,Limited,,74,0.120899,-0.021063,-0.024683,0.073571,0.056043,2.135135,0.405405,0.770270
group,rated-only,LLR,L2s Main LLR Backtesting,Limited,,74,0.121620,0.015824,0.012300,0.077513,0.059498,1.189189,0.364865,0.702703
group,all,LLR,L2s Main LLR Backtesting,PCC,,327,0.075614,-0.016744,-0.018694,0.044876,0.033470,5.957187,0.568807,0.844037
group,rated-only,LLR,L2s Main LLR Backtesting,PCC,,328,0.075462,-0.016775,-0.018725,0.044834,0.033416,4.484756,0.567073,0.844512
group,all,LLR,L2s Main LLR Backtesting,Limited Optics,,711,0.077213,-0.001008,-0.003563,0.049378,0.035779,23.890295,0.575246,0.880450
group,rated-only,LLR,L2s Main LLR Backtesting,Limited Optics,,711,0.077387,0.004315,0.001791,0.050102,0.036208,9.483826,0.558368,0.880450
group,all,LLR,L2s Main LLR Backtesting,Carry Optics,,1091,0.073789,-0.005529,-0.007761,0.044842,0.033384,19.811182,0.604033,0.868011
group,rated-only,LLR,L2s Main LLR Backtesting,Carry Optics,,1091,0.073221,-0.004791,-0.007025,0.044483,0.033147,15.826764,0.608616,0.867094
group,all,LLR,L2s Main LLR Backtesting,Production,,101,0.085154,-0.040086,-0.042782,0.046872,0.035922,2.386139,0.683168,0.851485
group,rated-only,LLR,L2s Main LLR Backtesting,Production,,101,0.085150,-0.040116,-0.042822,0.046868,0.035930,1.990099,0.683168,0.851485
group,all,LLR,L2s Main LLR Backtesting,Single Stack,,66,0.120644,-0.041159,-0.048112,0.058424,0.043974,1.954545,0.621212,0.878788
group,rated-only,LLR,L2s Main LLR Backtesting,Single Stack,,66,0.120631,-0.041306,-0.048199,0.058406,0.043969,1.742424,0.621212,0.878788
group,all,LLR,L2s Main LLR Backtesting,Revolver,,41,0.080343,-0.034714,-0.037256,0.043358,0.031014,1.609756,0.585366,0.902439
group,rated-only,LLR,L2s Main LLR Backtesting,Revolver,,41,0.080330,-0.034668,-0.037209,0.043352,0.031007,1.121951,0.585366,0.902439
group,all,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.116942,-0.085662,-0.096074,0.083169,0.062638,1.833333,0.666667,0.833333
group,rated-only,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.117521,-0.084617,-0.094954,0.083753,0.062675,1.000000,0.666667,0.833333
finish_quintile,all,LLR,,,top 20%,659,0.049107,0.031072,0.029268,0.043419,0.031039,7.039454,0.687405,0.933232
finish_quintile,all,LLR,,,20-40%,650,0.057715,0.020601,0.018540,0.044429,0.032533,12.904615,0.629231,0.893846
finish_quintile,all,LLR,,,40-60%,620,0.062035,0.009309,0.007086,0.042556,0.030530,16.562903,0.600000,0.903226
finish_quintile,all,LLR,,,60-80%,564,0.074152,-0.008372,-0.010951,0.044391,0.032542,18.730496,0.544326,0.861702
finish_quintile,all,LLR,,,bottom 20%,456,0.209098,-0.174819,-0.179179,0.069135,0.055821,27.210526,0.451754,0.708333
finish_quintile,rated-only,LLR,,,top 20%,571,0.048890,0.033243,0.031498,0.043612,0.031402,7.332750,0.686515,0.926445
finish_quintile,rated-only,LLR,,,20-40%,601,0.055900,0.024788,0.022777,0.044179,0.032121,11.748752,0.620632,0.910150
finish_quintile,rated-only,LLR,,,40-60%,613,0.063172,0.018046,0.015867,0.044508,0.032157,12.750408,0.597064,0.882545
finish_quintile,rated-only,LLR,,,60-80%,604,0.066950,0.001271,-0.001206,0.041758,0.030013,10.243377,0.576159,0.880795
finish_quintile,rated-only,LLR,,,bottom 20%,561,0.186155,-0.148429,-0.152511,0.065835,0.052735,8.354724,0.459893,0.732620
rating_quintile,all,LLR,,,top 20%,747,0.058703,-0.012136,-0.014010,0.042980,0.032004,10.768407,0.702811,0.934404
rating_quintile,all,LLR,,,20-40%,782,0.065665,-0.005181,-0.007409,0.045979,0.033501,16.278772,0.632992,0.910486
rating_quintile,all,LLR,,,40-60%,761,0.094723,-0.011094,-0.013567,0.050745,0.037810,19.390276,0.521682,0.833114
rating_quintile,all,LLR,,,60-80%,531,0.105035,-0.021798,-0.025093,0.050105,0.037639,17.476460,0.523540,0.809793
rating_quintile,all,LLR,,,bottom 20%,128,0.175393,-0.091134,-0.095642,0.055900,0.042761,11.390625,0.406250,0.710938
rating_quintile,rated-only,LLR,,,top 20%,562,0.054995,-0.008841,-0.010580,0.041032,0.030824,7.649466,0.725979,0.939502
rating_quintile,rated-only,LLR,,,20-40%,595,0.062133,-0.004994,-0.007069,0.045184,0.032828,11.789916,0.628571,0.922689
rating_quintile,rated-only,LLR,,,40-60%,601,0.084167,-0.013432,-0.015660,0.047433,0.035211,12.900166,0.605657,0.878536
rating_quintile,rated-only,LLR,,,60-80%,592,0.085589,0.002335,-0.000100,0.051282,0.037513,10.913851,0.498311,0.822635
rating_quintile,rated-only,LLR,,,bottom 20%,600,0.126632,-0.038216,-0.042105,0.053470,0.040725,7.350000,0.493333,0.780000
