scope,mode,algorithm,project,group,bucket,n,mape,mpe,mpe_arith,mae,crps,rank_mae,coverage_1sigma,coverage_2sigma
overall,all,LLR,,,,2947,0.083840,-0.016330,-0.018659,0.047915,0.035893,15.703427,0.563624,0.844248
overall,rated-only,LLR,,,,2947,0.083631,-0.013970,-0.016298,0.048007,0.035981,10.188327,0.562606,0.840516
group,all,LLR,L2s Main LLR Backtesting,Open,,532,0.104860,-0.041774,-0.044288,0.047923,0.036263,9.501880,0.616541,0.892857
group,rated-only,LLR,L2s Main LLR Backtesting,Open,,532,0.104885,-0.041905,-0.044439,0.047926,0.036270,7.513158,0.620301,0.887218
group,all,LLR,L2s Main LLR Backtesting,Limited,,74,0.120956,-0.020321,-0.023944,0.073679,0.056423,2.162162,0.445946,0.756757
group,rated-only,LLR,L2s Main LLR Backtesting,Limited,,74,0.120901,0.016617,0.013132,0.077048,0.059398,1.189189,0.391892,0.702703
group,all,LLR,L2s Main LLR Backtesting,PCC,,326,0.077216,-0.019683,-0.021420,0.045636,0.034451,5.993865,0.515337,0.782209
group,rated-only,LLR,L2s Main LLR Backtesting,PCC,,326,0.077265,-0.019737,-0.021478,0.045705,0.034493,4.567485,0.515337,0.782209
group,all,LLR,L2s Main LLR Backtesting,Limited Optics,,710,0.077505,-0.003299,-0.005242,0.049448,0.036347,23.915493,0.508451,0.830986
group,rated-only,LLR,L2s Main LLR Backtesting,Limited Optics,,710,0.077381,0.001801,-0.000138,0.049926,0.036655,9.525352,0.495775,0.825352
group,all,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.074313,-0.006491,-0.008664,0.045016,0.033806,19.883486,0.579817,0.848624
group,rated-only,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.073802,-0.005870,-0.008048,0.044704,0.033623,15.885321,0.587156,0.848624
group,all,LLR,L2s Main LLR Backtesting,Production,,101,0.089289,-0.042040,-0.044912,0.048999,0.037142,2.504950,0.673267,0.861386
group,rated-only,LLR,L2s Main LLR Backtesting,Production,,101,0.089233,-0.041850,-0.044695,0.048975,0.037102,2.069307,0.673267,0.861386
group,all,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.119416,-0.034674,-0.042394,0.059015,0.044413,1.880597,0.656716,0.880597
group,rated-only,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.119568,-0.034838,-0.042509,0.059089,0.044494,1.671642,0.656716,0.880597
group,all,LLR,L2s Main LLR Backtesting,Revolver,,41,0.082637,-0.035694,-0.037761,0.043447,0.031880,1.609756,0.560976,0.878049
group,rated-only,LLR,L2s Main LLR Backtesting,Revolver,,41,0.082640,-0.035721,-0.037791,0.043447,0.031882,1.121951,0.560976,0.878049
group,all,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.121980,-0.088250,-0.096780,0.086721,0.064681,1.833333,0.666667,0.833333
group,rated-only,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.121700,-0.087530,-0.095949,0.086468,0.065011,1.000000,0.666667,0.833333
finish_quintile,all,LLR,,,top 20%,656,0.048916,0.029766,0.028125,0.043240,0.031122,6.960366,0.672256,0.914634
finish_quintile,all,LLR,,,20-40%,650,0.058302,0.019760,0.017903,0.044891,0.032927,12.956923,0.595385,0.875385
finish_quintile,all,LLR,,,40-60%,620,0.062381,0.008733,0.006712,0.042764,0.031019,16.585484,0.569355,0.866129
finish_quintile,all,LLR,,,60-80%,565,0.074762,-0.009146,-0.011594,0.044747,0.033096,18.686726,0.511504,0.835398
finish_quintile,all,LLR,,,bottom 20%,456,0.210913,-0.177066,-0.181325,0.069877,0.057076,27.300439,0.418860,0.679825
finish_quintile,rated-only,LLR,,,top 20%,568,0.048785,0.032068,0.030458,0.043504,0.031527,7.323944,0.669014,0.903169
finish_quintile,rated-only,LLR,,,20-40%,601,0.055934,0.023591,0.021768,0.044194,0.032343,11.805324,0.602329,0.888519
finish_quintile,rated-only,LLR,,,40-60%,613,0.063500,0.017344,0.015352,0.044738,0.032687,12.833605,0.566069,0.846656
finish_quintile,rated-only,LLR,,,60-80%,604,0.067456,0.000295,-0.002057,0.042058,0.030371,10.228477,0.548013,0.857616
finish_quintile,rated-only,LLR,,,bottom 20%,561,0.187995,-0.150396,-0.154332,0.066630,0.054027,8.422460,0.424242,0.700535
rating_quintile,all,LLR,,,top 20%,745,0.058239,-0.013758,-0.015429,0.042562,0.031725,10.557047,0.687248,0.919463
rating_quintile,all,LLR,,,20-40%,782,0.066691,-0.007029,-0.009038,0.046631,0.034258,16.391304,0.593350,0.872123
rating_quintile,all,LLR,,,40-60%,759,0.095355,-0.010774,-0.013045,0.051183,0.038534,19.567852,0.488801,0.801054
rating_quintile,all,LLR,,,60-80%,532,0.106376,-0.023764,-0.027025,0.050601,0.038533,17.364662,0.496241,0.793233
rating_quintile,all,LLR,,,bottom 20%,129,0.174970,-0.089591,-0.094149,0.056301,0.043441,11.666667,0.387597,0.705426
rating_quintile,rated-only,LLR,,,top 20%,559,0.055756,-0.010547,-0.012142,0.041551,0.031170,7.651163,0.699463,0.919499
rating_quintile,rated-only,LLR,,,20-40%,594,0.061127,-0.005137,-0.007006,0.044572,0.032545,11.781145,0.621212,0.892256
rating_quintile,rated-only,LLR,,,40-60%,602,0.087192,-0.018286,-0.020338,0.048321,0.036535,13.197674,0.569767,0.845515
rating_quintile,rated-only,LLR,,,60-80%,593,0.086184,0.002407,0.000201,0.051511,0.038004,10.780776,0.463744,0.790894
rating_quintile,rated-only,LLR,,,bottom 20%,599,0.125855,-0.037797,-0.041661,0.053656,0.041318,7.365609,0.467446,0.759599
