scope,mode,algorithm,project,group,bucket,n,mape,mpe,mpe_arith,mae,crps,rank_mae,coverage_1sigma,coverage_2sigma
overall,all,LLR,,,,2949,0.083431,-0.015959,-0.018437,0.047671,0.035432,15.683622,0.590709,0.868769
overall,rated-only,LLR,,,,2948,0.083279,-0.013495,-0.015952,0.047804,0.035530,10.158073,0.587178,0.866350
group,all,LLR,L2s Main LLR Backtesting,Open,,531,0.105383,-0.043249,-0.045606,0.047858,0.036183,9.589454,0.600753,0.885122
group,rated-only,LLR,L2s Main LLR Backtesting,Open,,532,0.105184,-0.043355,-0.045720,0.047751,0.036114,7.503759,0.601504,0.887218
group,all,LLR,L2s Main LLR Backtesting,Limited,,74,0.121554,-0.021527,-0.025276,0.073900,0.056242,2.121622,0.432432,0.770270
group,rated-only,LLR,L2s Main LLR Backtesting,Limited,,74,0.121952,0.015491,0.011888,0.077664,0.059243,1.175676,0.378378,0.702703
group,all,LLR,L2s Main LLR Backtesting,PCC,,327,0.076006,-0.017226,-0.019147,0.045103,0.033642,5.969419,0.562691,0.840979
group,rated-only,LLR,L2s Main LLR Backtesting,PCC,,327,0.076054,-0.017221,-0.019134,0.045179,0.033677,4.541284,0.565749,0.837920
group,all,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.077359,-0.001626,-0.004173,0.049448,0.035809,23.831461,0.575843,0.879213
group,rated-only,LLR,L2s Main LLR Backtesting,Limited Optics,,710,0.077598,0.003464,0.000930,0.050181,0.036263,9.516901,0.560563,0.877465
group,all,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.073837,-0.006370,-0.008601,0.044786,0.033380,19.847706,0.603670,0.868807
group,rated-only,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.073292,-0.005384,-0.007594,0.044458,0.033183,15.830275,0.606422,0.867890
group,all,LLR,L2s Main LLR Backtesting,Production,,101,0.085369,-0.040457,-0.043115,0.046937,0.036118,2.366337,0.683168,0.851485
group,rated-only,LLR,L2s Main LLR Backtesting,Production,,101,0.085334,-0.040285,-0.042921,0.046928,0.036088,1.980198,0.683168,0.851485
group,all,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.119273,-0.039378,-0.046417,0.057925,0.043552,1.970149,0.626866,0.880597
group,rated-only,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.119496,-0.040644,-0.047432,0.057865,0.043459,1.761194,0.626866,0.880597
group,all,LLR,L2s Main LLR Backtesting,Revolver,,41,0.081584,-0.037258,-0.039812,0.043904,0.031386,1.609756,0.585366,0.902439
group,rated-only,LLR,L2s Main LLR Backtesting,Revolver,,41,0.081581,-0.037240,-0.039790,0.043903,0.031382,1.121951,0.585366,0.902439
group,all,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.118566,-0.086446,-0.096455,0.084342,0.063602,1.833333,0.666667,0.833333
group,rated-only,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.116855,-0.084176,-0.094271,0.083209,0.062451,1.000000,0.666667,0.833333
finish_quintile,all,LLR,,,top 20%,658,0.049258,0.031243,0.029460,0.043566,0.031139,7.004559,0.680851,0.933131
finish_quintile,all,LLR,,,20-40%,650,0.057626,0.020491,0.018455,0.044363,0.032427,12.910769,0.630769,0.896923
finish_quintile,all,LLR,,,40-60%,620,0.061796,0.008814,0.006611,0.042385,0.030449,16.538710,0.604839,0.900000
finish_quintile,all,LLR,,,60-80%,565,0.073912,-0.009581,-0.012142,0.044237,0.032431,18.713274,0.539823,0.863717
finish_quintile,all,LLR,,,bottom 20%,456,0.210736,-0.177612,-0.181992,0.069752,0.056406,27.243421,0.447368,0.699561
finish_quintile,rated-only,LLR,,,top 20%,569,0.049151,0.033570,0.031852,0.043851,0.031571,7.326889,0.676626,0.922671
finish_quintile,rated-only,LLR,,,20-40%,601,0.055729,0.024750,0.022771,0.044045,0.031988,11.775374,0.630616,0.911814
finish_quintile,rated-only,LLR,,,40-60%,613,0.062884,0.017707,0.015569,0.044301,0.032033,12.730832,0.595432,0.880914
