scope,mode,algorithm,project,group,bucket,n,mape,mpe,mpe_arith,mae,crps,rank_mae,coverage_1sigma,coverage_2sigma
overall,all,LLR,,,,2948,0.083563,-0.016079,-0.018293,0.047728,0.035599,15.716757,0.573609,0.856174
overall,rated-only,LLR,,,,2948,0.083384,-0.013575,-0.015776,0.047859,0.035682,10.181479,0.568521,0.854817
group,all,LLR,L2s Main LLR Backtesting,Open,,531,0.105313,-0.042577,-0.044601,0.047894,0.036342,9.610169,0.572505,0.879473
group,rated-only,LLR,L2s Main LLR Backtesting,Open,,531,0.105332,-0.042646,-0.044676,0.047900,0.036353,7.527307,0.572505,0.879473
group,all,LLR,L2s Main LLR Backtesting,Limited,,73,0.123629,-0.022895,-0.026387,0.075072,0.057322,2.095890,0.410959,0.753425
group,rated-only,LLR,L2s Main LLR Backtesting,Limited,,74,0.121786,0.014593,0.011283,0.077510,0.059192,1.121622,0.351351,0.716216
group,all,LLR,L2s Main LLR Backtesting,PCC,,328,0.075927,-0.016932,-0.018701,0.045048,0.033760,5.981707,0.557927,0.823171
group,rated-only,LLR,L2s Main LLR Backtesting,PCC,,328,0.075965,-0.016971,-0.018742,0.045108,0.033789,4.551829,0.554878,0.823171
group,all,LLR,L2s Main LLR Backtesting,Limited Optics,,711,0.077256,-0.001561,-0.004037,0.049383,0.035844,23.909986,0.578059,0.872011
group,rated-only,LLR,L2s Main LLR Backtesting,Limited Optics,,710,0.077473,0.003519,0.001063,0.050118,0.036289,9.533803,0.560563,0.873239
group,all,LLR,L2s Main LLR Backtesting,Carry Optics,,1091,0.074043,-0.006351,-0.008297,0.044956,0.033635,19.864345,0.578368,0.850596
group,rated-only,LLR,L2s Main LLR Backtesting,Carry Optics,,1091,0.073482,-0.005393,-0.007326,0.044618,0.033412,15.865261,0.581118,0.848763
group,all,LLR,L2s Main LLR Backtesting,Production,,100,0.085834,-0.040394,-0.042732,0.047207,0.036367,2.370000,0.640000,0.840000
group,rated-only,LLR,L2s Main LLR Backtesting,Production,,100,0.085885,-0.040408,-0.042746,0.047257,0.036391,1.970000,0.640000,0.840000
group,all,LLR,L2s Main LLR Backtesting,Single Stack,,66,0.122537,-0.049940,-0.055045,0.058021,0.043858,1.954545,0.590909,0.863636
group,rated-only,LLR,L2s Main LLR Backtesting,Single Stack,,66,0.122448,-0.049645,-0.054736,0.057998,0.043818,1.742424,0.590909,0.863636
group,all,LLR,L2s Main LLR Backtesting,Revolver,,42,0.081365,-0.039469,-0.041942,0.043184,0.030985,1.571429,0.595238,0.904762
group,rated-only,LLR,L2s Main LLR Backtesting,Revolver,,42,0.081343,-0.039396,-0.041862,0.043174,0.030973,1.095238,0.595238,0.904762
group,all,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.116005,-0.089424,-0.099019,0.082098,0.062753,1.833333,0.666667,0.833333
group,rated-only,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.115926,-0.088295,-0.098112,0.082178,0.062331,1.000000,0.666667,0.833333
finish_quintile,all,LLR,,,top 20%,658,0.048980,0.030623,0.028972,0.043286,0.031080,7.071429,0.664134,0.917933
finish_quintile,all,LLR,,,20-40%,650,0.057879,0.020114,0.018242,0.044536,0.032643,12.938462,0.615385,0.884615
finish_quintile,all,LLR,,,40-60%,620,0.062222,0.008811,0.006783,0.042691,0.030733,16.609677,0.587097,0.888710
finish_quintile,all,LLR,,,60-80%,564,0.074303,-0.008963,-0.011246,0.044457,0.032702,18.741135,0.526596,0.852837
finish_quintile,all,LLR,,,bottom 20%,456,0.210548,-0.177703,-0.181383,0.069584,0.056531,27.197368,0.423246,0.686404
finish_quintile,rated-only,LLR,,,top 20%,570,0.048732,0.032773,0.031191,0.043449,0.031417,7.352632,0.659649,0.910526
finish_quintile,rated-only,LLR,,,20-40%,600,0.056042,0.024508,0.022675,0.044281,0.032245,11.805000,0.610000,0.898333
finish_quintile,rated-only,LLR,,,40-60%,613,0.063353,0.017595,0.015625,0.044633,0.032337,12.794454,0.574225,0.869494
finish_quintile,rated-only,LLR,,,60-80%,604,0.067118,0.000722,-0.001480,0.041865,0.030191,10.291391,0.559603,0.872517
finish_quintile,rated-only,LLR,,,bottom 20%,561,0.187235,-0.150849,-0.154323,0.066146,0.053257,8.345811,0.434938,0.716578
rating_quintile,all,LLR,,,top 20%,745,0.057731,-0.011747,-0.013485,0.042574,0.031689,10.548993,0.691275,0.924832
rating_quintile,all,LLR,,,20-40%,783,0.066918,-0.006915,-0.008959,0.046503,0.034038,16.561941,0.614304,0.895275
rating_quintile,all,LLR,,,40-60%,761,0.094717,-0.011524,-0.013747,0.050779,0.037955,19.396846,0.507227,0.818660
rating_quintile,all,LLR,,,60-80%,531,0.105674,-0.023135,-0.025920,0.050322,0.038022,17.493409,0.495292,0.796610
rating_quintile,all,LLR,,,bottom 20%,128,0.177701,-0.095166,-0.098762,0.056322,0.043839,11.375000,0.359375,0.687500
rating_quintile,rated-only,LLR,,,top 20%,560,0.055097,-0.009569,-0.011164,0.041063,0.030831,7.639286,0.710714,0.926786
rating_quintile,rated-only,LLR,,,20-40%,595,0.062258,-0.005642,-0.007532,0.045254,0.032980,11.936134,0.610084,0.910924
rating_quintile,rated-only,LLR,,,40-60%,601,0.084474,-0.012682,-0.014702,0.047759,0.035491,12.883527,0.582363,0.866889
rating_quintile,rated-only,LLR,,,60-80%,593,0.085484,0.001093,-0.001091,0.051108,0.037581,10.934233,0.480607,0.811130
rating_quintile,rated-only,LLR,,,bottom 20%,599,0.127641,-0.040617,-0.043892,0.053685,0.041213,7.358932,0.467446,0.762938
