scope,mode,algorithm,project,group,bucket,n,mape,mpe,mpe_arith,mae,crps,rank_mae,coverage_1sigma,coverage_2sigma
overall,all,LLR,,,,2948,0.083265,-0.014842,-0.017657,0.047745,0.035340,15.681818,0.615332,0.881275
overall,rated-only,LLR,,,,2952,0.083021,-0.012462,-0.015273,0.047830,0.035416,10.155149,0.611789,0.880420
group,all,LLR,L2s Main LLR Backtesting,Open,,532,0.105108,-0.042118,-0.044761,0.048056,0.036246,9.620301,0.629699,0.894737
group,rated-only,LLR,L2s Main LLR Backtesting,Open,,532,0.105081,-0.042317,-0.044997,0.048025,0.036209,7.556391,0.631579,0.896617
group,all,LLR,L2s Main LLR Backtesting,Limited,,74,0.120776,-0.017453,-0.021626,0.074006,0.055569,2.135135,0.459459,0.770270
group,rated-only,LLR,L2s Main LLR Backtesting,Limited,,74,0.122154,0.019366,0.015352,0.078352,0.059407,1.216216,0.418919,0.702703
group,all,LLR,L2s Main LLR Backtesting,PCC,,326,0.076008,-0.017848,-0.019943,0.045073,0.033392,5.963190,0.558282,0.861963
group,rated-only,LLR,L2s Main LLR Backtesting,PCC,,328,0.075614,-0.017898,-0.019995,0.044876,0.033236,4.490854,0.557927,0.859756
group,all,LLR,L2s Main LLR Backtesting,Limited Optics,,711,0.077446,-0.001371,-0.004114,0.049490,0.035715,23.850914,0.593530,0.888889
group,rated-only,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.077393,0.003739,0.001017,0.050052,0.036031,9.498596,0.574438,0.890449
group,all,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.073776,-0.005183,-0.007856,0.044868,0.033321,19.813761,0.637615,0.880734
group,rated-only,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.073267,-0.004413,-0.007087,0.044560,0.033145,15.834862,0.643119,0.881651
group,all,LLR,L2s Main LLR Backtesting,Production,,101,0.084495,-0.035115,-0.038403,0.046814,0.035896,2.445545,0.712871,0.891089
group,rated-only,LLR,L2s Main LLR Backtesting,Production,,101,0.084522,-0.035330,-0.038690,0.046814,0.035978,2.009901,0.712871,0.891089
group,all,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.118574,-0.034750,-0.042739,0.058662,0.043705,1.955224,0.671642,0.895522
