scope,mode,algorithm,project,group,bucket,n,mape,mpe,mpe_arith,mae,crps,rank_mae,coverage_1sigma,coverage_2sigma
overall,all,LLR,,,,2954,0.083101,-0.012572,-0.015209,0.047875,0.035463,15.710223,0.607651,0.874746
overall,rated-only,LLR,,,,2952,0.082938,-0.010005,-0.012625,0.047987,0.035561,10.164295,0.603320,0.876016
group,all,LLR,L2s Main LLR Backtesting,Open,,532,0.104658,-0.041330,-0.043782,0.047799,0.036087,9.509398,0.614662,0.892857
group,rated-only,LLR,L2s Main LLR Backtesting,Open,,532,0.104651,-0.041227,-0.043662,0.047799,0.036096,7.475564,0.612782,0.892857
group,all,LLR,L2s Main LLR Backtesting,Limited,,75,0.119441,-0.019166,-0.023478,0.073847,0.056247,2.173333,0.480000,0.746667
group,rated-only,LLR,L2s Main LLR Backtesting,Limited,,75,0.117627,0.019372,0.015194,0.075582,0.057767,1.200000,0.453333,0.746667
group,all,LLR,L2s Main LLR Backtesting,PCC,,329,0.075786,-0.014631,-0.016641,0.045293,0.033642,5.972644,0.586626,0.841945
group,rated-only,LLR,L2s Main LLR Backtesting,PCC,,328,0.076046,-0.014729,-0.016750,0.045482,0.033776,4.585366,0.582317,0.835366
group,all,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.076003,0.001972,-0.000885,0.048836,0.035202,23.727528,0.609551,0.896067
group,rated-only,LLR,L2s Main LLR Backtesting,Limited Optics,,711,0.076149,0.007137,0.004298,0.049496,0.035635,9.385373,0.597750,0.902954
group,all,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.074371,-0.001087,-0.003458,0.045628,0.033881,20.057798,0.613761,0.870642
group,rated-only,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.073865,-0.000149,-0.002501,0.045321,0.033712,15.946789,0.613761,0.871560
group,all,LLR,L2s Main LLR Backtesting,Production,,101,0.086154,-0.039056,-0.041934,0.047650,0.036350,2.396040,0.683168,0.851485
group,rated-only,LLR,L2s Main LLR Backtesting,Production,,101,0.086205,-0.039118,-0.042005,0.047687,0.036386,1.980198,0.683168,0.851485
group,all,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.120793,-0.050521,-0.056422,0.057837,0.043767,2.134328,0.582090,0.880597
group,rated-only,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.120893,-0.050885,-0.056758,0.057863,0.043745,1.895522,0.582090,0.880597
group,all,LLR,L2s Main LLR Backtesting,Revolver,,42,0.072720,-0.030706,-0.033488,0.040742,0.029094,1.523810,0.571429,0.928571
group,rated-only,LLR,L2s Main LLR Backtesting,Revolver,,42,0.072676,-0.030547,-0.033300,0.040719,0.029073,1.000000,0.571429,0.928571
