scope,mode,algorithm,project,group,bucket,n,mape,mpe,mpe_arith,mae,crps,rank_mae,coverage_1sigma,coverage_2sigma
overall,all,LLR,,,,2950,0.082951,-0.011886,-0.014591,0.047877,0.035438,15.732203,0.615932,0.877288
overall,rated-only,LLR,,,,2954,0.082656,-0.009403,-0.012087,0.047928,0.035477,10.162830,0.611713,0.878808
group,all,LLR,L2s Main LLR Backtesting,Open,,532,0.104720,-0.041154,-0.043650,0.047849,0.036122,9.509398,0.620301,0.892857
group,rated-only,LLR,L2s Main LLR Backtesting,Open,,532,0.104710,-0.040917,-0.043383,0.047862,0.036112,7.468045,0.614662,0.892857
group,all,LLR,L2s Main LLR Backtesting,Limited,,74,0.120276,-0.014732,-0.019446,0.074705,0.057272,2.297297,0.513514,0.743243
group,rated-only,LLR,L2s Main LLR Backtesting,Limited,,74,0.119960,0.022320,0.017802,0.077777,0.059619,1.297297,0.445946,0.756757
group,all,LLR,L2s Main LLR Backtesting,PCC,,328,0.076046,-0.014281,-0.016309,0.045461,0.033745,5.984756,0.588415,0.844512
group,rated-only,LLR,L2s Main LLR Backtesting,PCC,,329,0.075893,-0.014464,-0.016496,0.045407,0.033691,4.571429,0.583587,0.844985
group,all,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.075990,0.001760,-0.001153,0.048815,0.035189,23.724719,0.619382,0.898876
group,rated-only,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.076024,0.007006,0.004136,0.049408,0.035566,9.380618,0.605337,0.903090
group,all,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.074358,-0.001088,-0.003494,0.045622,0.033864,20.057798,0.619266,0.873394
group,rated-only,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.073838,-0.000383,-0.002793,0.045301,0.033682,15.954128,0.624771,0.873394
group,all,LLR,L2s Main LLR Backtesting,Production,,100,0.083985,-0.034136,-0.037400,0.047450,0.035708,2.390000,0.710000,0.860000
group,rated-only,LLR,L2s Main LLR Backtesting,Production,,101,0.083163,-0.033678,-0.036879,0.047035,0.035327,1.960396,0.712871,0.861386
group,all,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.116687,-0.046592,-0.052671,0.056671,0.042618,2.164179,0.567164,0.895522
group,rated-only,LLR,L2s Main LLR Backtesting,Single Stack,,68,0.114991,-0.046023,-0.051994,0.055843,0.042021,1.897059,0.573529,0.897059
group,all,LLR,L2s Main LLR Backtesting,Revolver,,41,0.071252,-0.010400,-0.013478,0.041093,0.028949,1.560976,0.658537,0.926829
group,rated-only,LLR,L2s Main LLR Backtesting,Revolver,,42,0.069626,-0.010673,-0.013774,0.040124,0.028330,1.000000,0.666667,0.928571
group,all,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.142768,-0.083143,-0.096989,0.105031,0.073298,2.500000,0.666667,0.833333
group,rated-only,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.142958,-0.082364,-0.096122,0.105348,0.073356,1.666667,0.666667,0.833333
finish_quintile,all,LLR,,,top 20%,659,0.049151,0.031510,0.029526,0.043531,0.031175,7.048558,0.707132,0.939302
finish_quintile,all,LLR,,,20-40%,650,0.058981,0.020954,0.018678,0.045431,0.032958,12.980000,0.646154,0.906154
finish_quintile,all,LLR,,,40-60%,620,0.063100,0.011051,0.008620,0.043292,0.031158,16.561290,0.632258,0.900000
finish_quintile,all,LLR,,,60-80%,565,0.076158,-0.004443,-0.007210,0.045701,0.033271,18.807080,0.569912,0.867257
finish_quintile,all,LLR,,,bottom 20%,456,0.201373,-0.161818,-0.166475,0.066574,0.053640,27.267544,0.475877,0.728070
finish_quintile,rated-only,LLR,,,top 20%,574,0.048395,0.033172,0.031271,0.043233,0.031089,7.283972,0.702091,0.939024
finish_quintile,rated-only,LLR,,,20-40%,602,0.057178,0.025264,0.023055,0.045221,0.032628,11.820598,0.647841,0.918605
finish_quintile,rated-only,LLR,,,40-60%,613,0.064120,0.019347,0.016974,0.045184,0.032731,12.820555,0.623165,0.890701
finish_quintile,rated-only,LLR,,,60-80%,604,0.068922,0.004542,0.001872,0.043076,0.030782,10.273179,0.592715,0.884106
finish_quintile,rated-only,LLR,,,bottom 20%,561,0.180090,-0.136596,-0.140943,0.063860,0.051081,8.306595,0.488414,0.755793
rating_quintile,all,LLR,,,top 20%,748,0.058002,-0.012529,-0.014598,0.042711,0.031671,10.394385,0.728610,0.945187
rating_quintile,all,LLR,,,20-40%,782,0.065903,-0.004650,-0.007131,0.046080,0.033438,16.714834,0.659847,0.921995
rating_quintile,all,LLR,,,40-60%,760,0.095316,-0.006757,-0.009458,0.051473,0.038188,19.440789,0.553947,0.836842
rating_quintile,all,LLR,,,60-80%,532,0.104830,-0.012373,-0.015860,0.051123,0.038259,17.486842,0.530075,0.808271
rating_quintile,all,LLR,,,bottom 20%,128,0.168544,-0.080753,-0.085329,0.054203,0.041627,11.609375,0.414063,0.734375
rating_quintile,rated-only,LLR,,,top 20%,565,0.055550,-0.009777,-0.011667,0.041298,0.030831,7.669027,0.736283,0.953982
rating_quintile,rated-only,LLR,,,20-40%,595,0.060751,-0.004817,-0.007090,0.044261,0.032103,11.675630,0.677311,0.932773
rating_quintile,rated-only,LLR,,,40-60%,603,0.085030,-0.012242,-0.014674,0.048292,0.035815,12.996683,0.623549,0.890547
rating_quintile,rated-only,LLR,,,60-80%,594,0.085029,0.007592,0.005002,0.051365,0.037367,10.979798,0.525253,0.829966
rating_quintile,rated-only,LLR,,,bottom 20%,597,0.125379,-0.027664,-0.031854,0.054070,0.041016,7.340034,0.502513,0.790620
