scope,mode,algorithm,project,group,bucket,n,mape,mpe,mpe_arith,mae,crps,rank_mae,coverage_1sigma,coverage_2sigma
overall,all,LLR,,,,2951,0.083237,-0.015227,-0.017695,0.047618,0.035379,15.688241,0.593358,0.868180
overall,rated-only,LLR,,,,2950,0.083092,-0.012870,-0.015339,0.047754,0.035469,10.151186,0.591525,0.868814
group,all,LLR,L2s Main LLR Backtesting,Open,,532,0.105122,-0.042403,-0.044776,0.047816,0.036113,9.592105,0.614662,0.889098
group,rated-only,LLR,L2s Main LLR Backtesting,Open,,532,0.105121,-0.042556,-0.044938,0.047801,0.036107,7.524436,0.614662,0.887218
group,all,LLR,L2s Main LLR Backtesting,Limited,,74,0.121018,-0.020663,-0.024377,0.073685,0.056045,2.148649,0.432432,0.770270
group,rated-only,LLR,L2s Main LLR Backtesting,Limited,,74,0.121555,0.016324,0.012736,0.077566,0.059182,1.229730,0.378378,0.702703
group,all,LLR,L2s Main LLR Backtesting,PCC,,328,0.075566,-0.016750,-0.018660,0.044857,0.033463,5.939024,0.573171,0.835366
group,rated-only,LLR,L2s Main LLR Backtesting,PCC,,327,0.075810,-0.016837,-0.018746,0.045036,0.033582,4.516820,0.571865,0.834862
group,all,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.077151,-0.000818,-0.003392,0.049361,0.035744,23.867978,0.577247,0.880618
group,rated-only,LLR,L2s Main LLR Backtesting,Limited Optics,,711,0.077307,0.004112,0.001542,0.050035,0.036137,9.483826,0.566807,0.886076
group,all,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.073794,-0.005626,-0.007818,0.044837,0.033409,19.855046,0.600000,0.866055
group,rated-only,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.073234,-0.004870,-0.007067,0.044487,0.033173,15.835780,0.605505,0.869725
group,all,LLR,L2s Main LLR Backtesting,Production,,101,0.085087,-0.039836,-0.042503,0.046844,0.036008,2.386139,0.683168,0.851485
group,rated-only,LLR,L2s Main LLR Backtesting,Production,,101,0.085101,-0.039754,-0.042401,0.046865,0.035998,1.990099,0.683168,0.851485
group,all,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.119451,-0.039869,-0.046762,0.058016,0.043551,1.970149,0.626866,0.880597
group,rated-only,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.119774,-0.040026,-0.047003,0.058182,0.043694,1.761194,0.626866,0.880597
group,all,LLR,L2s Main LLR Backtesting,Revolver,,41,0.080558,-0.034925,-0.037473,0.043479,0.031079,1.609756,0.585366,0.902439
group,rated-only,LLR,L2s Main LLR Backtesting,Revolver,,42,0.078760,-0.034437,-0.036980,0.042495,0.030424,1.095238,0.595238,0.904762
group,all,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.116675,-0.085457,-0.095817,0.082959,0.062484,1.833333,0.666667,0.833333
group,rated-only,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.115809,-0.083665,-0.093946,0.082413,0.061655,1.000000,0.666667,0.833333
finish_quintile,all,LLR,,,top 20%,660,0.049008,0.031001,0.029208,0.043345,0.031007,7.006061,0.689394,0.931818
finish_quintile,all,LLR,,,20-40%,650,0.057766,0.020550,0.018501,0.044469,0.032535,12.923077,0.629231,0.893846
finish_quintile,all,LLR,,,40-60%,620,0.062068,0.009414,0.007205,0.042580,0.030549,16.574194,0.603226,0.900000
finish_quintile,all,LLR,,,60-80%,565,0.074077,-0.008434,-0.010978,0.044356,0.032497,18.715044,0.543363,0.860177
finish_quintile,all,LLR,,,bottom 20%,456,0.209219,-0.175055,-0.179357,0.069182,0.055900,27.241228,0.451754,0.706140
finish_quintile,rated-only,LLR,,,top 20%,571,0.048814,0.033155,0.031408,0.043553,0.031362,7.318739,0.690018,0.928196
finish_quintile,rated-only,LLR,,,20-40%,601,0.055834,0.024658,0.022646,0.044125,0.032077,11.770383,0.628952,0.913478
finish_quintile,rated-only,LLR,,,40-60%,613,0.063196,0.018081,0.015915,0.044531,0.032162,12.747145,0.595432,0.880914
finish_quintile,rated-only,LLR,,,60-80%,604,0.066972,0.001080,-0.001378,0.041775,0.029989,10.250000,0.579470,0.882450
finish_quintile,rated-only,LLR,,,bottom 20%,561,0.186280,-0.148759,-0.152792,0.065875,0.052796,8.356506,0.459893,0.732620
rating_quintile,all,LLR,,,top 20%,749,0.058779,-0.012050,-0.013924,0.043097,0.032071,10.839786,0.707610,0.933244
rating_quintile,all,LLR,,,20-40%,782,0.065531,-0.005309,-0.007521,0.045832,0.033382,16.198210,0.634271,0.910486
rating_quintile,all,LLR,,,40-60%,760,0.094770,-0.011107,-0.013563,0.050748,0.037825,19.423684,0.522368,0.831579
rating_quintile,all,LLR,,,60-80%,531,0.105423,-0.022288,-0.025522,0.050321,0.037806,17.487759,0.516008,0.806026
rating_quintile,all,LLR,,,bottom 20%,129,0.173308,-0.089012,-0.093400,0.055119,0.042298,11.333333,0.418605,0.705426
rating_quintile,rated-only,LLR,,,top 20%,562,0.055069,-0.009042,-0.010790,0.041089,0.030817,7.670819,0.731317,0.943060
rating_quintile,rated-only,LLR,,,20-40%,595,0.062024,-0.004599,-0.006672,0.045126,0.032787,11.742857,0.633613,0.922689
rating_quintile,rated-only,LLR,,,40-60%,601,0.084301,-0.013678,-0.015898,0.047517,0.035268,12.930116,0.608985,0.876872
rating_quintile,rated-only,LLR,,,60-80%,592,0.085588,0.001526,-0.000891,0.051200,0.037444,10.905405,0.500000,0.827703
rating_quintile,rated-only,LLR,,,bottom 20%,600,0.126559,-0.038053,-0.041889,0.053440,0.040738,7.368333,0.491667,0.778333
