scope,mode,algorithm,project,group,bucket,n,mape,mpe,mpe_arith,mae,crps,rank_mae,coverage_1sigma,coverage_2sigma
overall,all,LLR,,,,2953,0.082880,-0.014551,-0.017479,0.047529,0.035154,15.612597,0.623772,0.889265
overall,rated-only,LLR,,,,2951,0.082828,-0.012019,-0.014931,0.047730,0.035306,10.103694,0.621484,0.887835
group,all,LLR,L2s Main LLR Backtesting,Open,,532,0.104746,-0.041136,-0.044019,0.047928,0.036043,9.562030,0.650376,0.909774
group,rated-only,LLR,L2s Main LLR Backtesting,Open,,532,0.104793,-0.041130,-0.044011,0.047954,0.036070,7.494361,0.648496,0.907895
group,all,LLR,L2s Main LLR Backtesting,Limited,,74,0.119689,-0.015640,-0.019990,0.073574,0.055306,2.135135,0.472973,0.783784
group,rated-only,LLR,L2s Main LLR Backtesting,Limited,,74,0.121240,0.020816,0.016519,0.077934,0.058926,1.216216,0.445946,0.743243
group,all,LLR,L2s Main LLR Backtesting,PCC,,329,0.075283,-0.016908,-0.019152,0.044711,0.033139,5.878419,0.589666,0.872340
group,rated-only,LLR,L2s Main LLR Backtesting,PCC,,328,0.075537,-0.017018,-0.019269,0.044895,0.033260,4.466463,0.588415,0.871951
group,all,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.077311,-0.000478,-0.003211,0.049473,0.035709,23.786517,0.584270,0.887640
group,rated-only,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.077381,0.004711,0.001988,0.050109,0.036074,9.428371,0.575843,0.891854
group,all,LLR,L2s Main LLR Backtesting,Carry Optics,,1091,0.073367,-0.005799,-0.008576,0.044547,0.033065,19.742438,0.647113,0.890926
group,rated-only,LLR,L2s Main LLR Backtesting,Carry Optics,,1091,0.072888,-0.004782,-0.007539,0.044265,0.032918,15.758020,0.649863,0.889093
group,all,LLR,L2s Main LLR Backtesting,Production,,101,0.084995,-0.037482,-0.040929,0.046951,0.036040,2.425743,0.712871,0.891089
group,rated-only,LLR,L2s Main LLR Backtesting,Production,,101,0.084975,-0.036884,-0.040216,0.046984,0.035949,2.009901,0.712871,0.881188
group,all,LLR,L2s Main LLR Backtesting,Single Stack,,66,0.118773,-0.034388,-0.042607,0.058636,0.043593,1.939394,0.666667,0.909091
group,rated-only,LLR,L2s Main LLR Backtesting,Single Stack,,66,0.118927,-0.035341,-0.043531,0.058572,0.043596,1.757576,0.666667,0.909091
group,all,LLR,L2s Main LLR Backtesting,Revolver,,42,0.075319,-0.028102,-0.030947,0.041666,0.029646,1.571429,0.595238,0.904762
group,rated-only,LLR,L2s Main LLR Backtesting,Revolver,,41,0.077065,-0.028476,-0.031335,0.042646,0.030283,1.073171,0.585366,0.902439
group,all,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.119583,-0.077168,-0.088045,0.085745,0.063303,1.833333,0.666667,0.833333
group,rated-only,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.119857,-0.076033,-0.086943,0.086154,0.063427,1.000000,0.666667,0.833333
finish_quintile,all,LLR,,,top 20%,663,0.049289,0.032043,0.029956,0.043633,0.031111,6.888386,0.711916,0.950226
finish_quintile,all,LLR,,,20-40%,650,0.057559,0.021376,0.018994,0.044346,0.032337,12.841538,0.661538,0.909231
finish_quintile,all,LLR,,,40-60%,620,0.061571,0.009696,0.007132,0.042235,0.030218,16.504839,0.637097,0.922581
finish_quintile,all,LLR,,,60-80%,564,0.073786,-0.008854,-0.011925,0.044198,0.032180,18.671986,0.578014,0.893617
finish_quintile,all,LLR,,,bottom 20%,456,0.208032,-0.173525,-0.178767,0.069052,0.055440,27.250000,0.480263,0.721491
finish_quintile,rated-only,LLR,,,top 20%,572,0.049498,0.034578,0.032540,0.044206,0.031707,7.241259,0.706294,0.940559
finish_quintile,rated-only,LLR,,,20-40%,601,0.055701,0.025634,0.023314,0.044040,0.031921,11.675541,0.657238,0.926789
finish_quintile,rated-only,LLR,,,40-60%,613,0.062915,0.018631,0.016112,0.044336,0.031923,12.734095,0.634584,0.900489
finish_quintile,rated-only,LLR,,,60-80%,604,0.066478,0.000890,-0.002025,0.041448,0.029607,10.206954,0.607616,0.917219
finish_quintile,rated-only,LLR,,,bottom 20%,561,0.185233,-0.147255,-0.152123,0.065749,0.052433,8.352941,0.497326,0.746881
rating_quintile,all,LLR,,,top 20%,751,0.058432,-0.009504,-0.011650,0.043010,0.031938,10.303595,0.735020,0.948069
