scope,mode,algorithm,project,group,bucket,n,mape,mpe,mpe_arith,mae,crps,rank_mae,coverage_1sigma,coverage_2sigma
overall,all,LLR,,,,2951,0.083244,-0.012999,-0.015471,0.047902,0.035563,15.736361,0.597425,0.868858
overall,rated-only,LLR,,,,2952,0.083046,-0.010493,-0.012946,0.048012,0.035649,10.168360,0.593157,0.868902
group,all,LLR,L2s Main LLR Backtesting,Open,,532,0.104571,-0.041141,-0.043352,0.047777,0.036137,9.535714,0.597744,0.887218
group,rated-only,LLR,L2s Main LLR Backtesting,Open,,531,0.104770,-0.041207,-0.043421,0.047869,0.036205,7.482109,0.596987,0.883239
group,all,LLR,L2s Main LLR Backtesting,Limited,,74,0.119455,-0.018613,-0.022599,0.073219,0.055757,2.162162,0.472973,0.756757
group,rated-only,LLR,L2s Main LLR Backtesting,Limited,,74,0.119333,0.018429,0.014570,0.076580,0.058434,1.189189,0.418919,0.716216
group,all,LLR,L2s Main LLR Backtesting,PCC,,328,0.076038,-0.014686,-0.016595,0.045427,0.033818,5.993902,0.579268,0.838415
group,rated-only,LLR,L2s Main LLR Backtesting,PCC,,329,0.075833,-0.014546,-0.016450,0.045351,0.033740,4.574468,0.580547,0.838906
group,all,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.075792,0.000832,-0.001999,0.048614,0.035108,23.734551,0.612360,0.891854
group,rated-only,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.075879,0.006061,0.003266,0.049237,0.035519,9.373596,0.601124,0.898876
group,all,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.074639,-0.001230,-0.003393,0.045793,0.034099,20.073394,0.597248,0.863303
group,rated-only,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.074086,-0.000356,-0.002510,0.045456,0.033892,15.964220,0.597248,0.863303
group,all,LLR,L2s Main LLR Backtesting,Production,,100,0.086887,-0.039652,-0.042301,0.047978,0.036669,2.370000,0.660000,0.840000
group,rated-only,LLR,L2s Main LLR Backtesting,Production,,101,0.086189,-0.039579,-0.042236,0.047642,0.036411,1.940594,0.663366,0.841584
group,all,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.122628,-0.052751,-0.058304,0.058472,0.044330,2.149254,0.567164,0.865672
group,rated-only,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.122903,-0.053370,-0.058768,0.058604,0.044404,1.910448,0.552239,0.865672
group,all,LLR,L2s Main LLR Backtesting,Revolver,,42,0.074689,-0.035391,-0.038080,0.041390,0.029588,1.523810,0.595238,0.904762
group,rated-only,LLR,L2s Main LLR Backtesting,Revolver,,42,0.074679,-0.035365,-0.038060,0.041384,0.029587,1.000000,0.595238,0.904762
group,all,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.146720,-0.090917,-0.102931,0.107185,0.076161,2.500000,0.666667,0.833333
group,rated-only,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.147019,-0.090308,-0.102205,0.107605,0.076432,1.666667,0.666667,0.833333
finish_quintile,all,LLR,,,top 20%,660,0.048770,0.030668,0.028823,0.043151,0.030844,7.025758,0.695455,0.934848
finish_quintile,all,LLR,,,20-40%,650,0.059062,0.020361,0.018271,0.045438,0.033151,13.013846,0.626154,0.900000
finish_quintile,all,LLR,,,40-60%,620,0.063120,0.010441,0.008187,0.043298,0.031234,16.587097,0.614516,0.896774
finish_quintile,all,LLR,,,60-80%,565,0.075876,-0.005157,-0.007697,0.045476,0.033245,18.819469,0.553982,0.854867
finish_quintile,all,LLR,,,bottom 20%,456,0.204102,-0.165343,-0.169474,0.067560,0.054587,27.247807,0.445175,0.708333
finish_quintile,rated-only,LLR,,,top 20%,573,0.048240,0.032609,0.030845,0.043061,0.030999,7.275742,0.685864,0.928447
finish_quintile,rated-only,LLR,,,20-40%,601,0.056945,0.024801,0.022759,0.045013,0.032562,11.866889,0.628952,0.913478
finish_quintile,rated-only,LLR,,,40-60%,613,0.064204,0.018824,0.016632,0.045232,0.032844,12.814029,0.601958,0.885808
finish_quintile,rated-only,LLR,,,60-80%,604,0.068947,0.003690,0.001240,0.043031,0.030935,10.293046,0.581126,0.875828
finish_quintile,rated-only,LLR,,,bottom 20%,561,0.182326,-0.139633,-0.143516,0.064682,0.051844,8.278075,0.463458,0.734403
rating_quintile,all,LLR,,,top 20%,749,0.057830,-0.013317,-0.015250,0.042520,0.031562,10.407210,0.715621,0.939920
rating_quintile,all,LLR,,,20-40%,782,0.066269,-0.005058,-0.007356,0.046259,0.033679,16.671355,0.640665,0.919437
rating_quintile,all,LLR,,,40-60%,760,0.095723,-0.007094,-0.009569,0.051735,0.038514,19.407895,0.535526,0.825000
rating_quintile,all,LLR,,,60-80%,532,0.104468,-0.015451,-0.018573,0.050458,0.037870,17.614662,0.518797,0.800752
