scope,mode,algorithm,project,group,bucket,n,mape,mpe,mpe_arith,mae,crps,rank_mae,coverage_1sigma,coverage_2sigma
overall,all,LLR,,,,2955,0.083441,-0.008071,-0.011495,0.048403,0.035526,15.703215,0.665651,0.914382
overall,rated-only,LLR,,,,2955,0.083333,-0.005470,-0.008859,0.048573,0.035635,10.157699,0.662944,0.913367
group,all,LLR,L2s Main LLR Backtesting,Open,,532,0.105666,-0.036730,-0.039968,0.048854,0.036498,9.509398,0.682331,0.922932
group,rated-only,LLR,L2s Main LLR Backtesting,Open,,532,0.105673,-0.036804,-0.040054,0.048853,0.036502,7.475564,0.682331,0.922932
group,all,LLR,L2s Main LLR Backtesting,Limited,,75,0.118931,-0.015962,-0.020938,0.073767,0.055373,2.173333,0.506667,0.786667
group,rated-only,LLR,L2s Main LLR Backtesting,Limited,,74,0.119160,0.022990,0.018186,0.076965,0.057653,1.216216,0.445946,0.770270
group,all,LLR,L2s Main LLR Backtesting,PCC,,330,0.075895,-0.011446,-0.014202,0.045612,0.033344,5.948485,0.645455,0.912121
group,rated-only,LLR,L2s Main LLR Backtesting,PCC,,330,0.075940,-0.011502,-0.014255,0.045683,0.033378,4.569697,0.645455,0.909091
group,all,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.076330,0.007602,0.003966,0.049388,0.035380,23.724719,0.664326,0.929775
group,rated-only,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.076646,0.012760,0.009165,0.050202,0.035873,9.377809,0.658708,0.929775
group,all,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.074681,0.003080,-0.000136,0.046034,0.033908,20.056881,0.673394,0.911927
group,rated-only,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.074259,0.004167,0.001009,0.045794,0.033765,15.949541,0.673394,0.911009
group,all,LLR,L2s Main LLR Backtesting,Production,,101,0.086050,-0.035488,-0.039050,0.047909,0.036312,2.396040,0.732673,0.891089
group,rated-only,LLR,L2s Main LLR Backtesting,Production,,101,0.086024,-0.035711,-0.039322,0.047864,0.036332,1.980198,0.732673,0.891089
group,all,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.119519,-0.042661,-0.049109,0.058212,0.043479,2.134328,0.611940,0.895522
group,rated-only,LLR,L2s Main LLR Backtesting,Single Stack,,68,0.117816,-0.042060,-0.048339,0.057387,0.042850,1.867647,0.617647,0.897059
group,all,LLR,L2s Main LLR Backtesting,Revolver,,42,0.073033,-0.028320,-0.031788,0.041238,0.029308,1.523810,0.642857,0.952381
group,rated-only,LLR,L2s Main LLR Backtesting,Revolver,,42,0.072987,-0.028200,-0.031635,0.041211,0.029275,1.000000,0.642857,0.952381
group,all,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.145299,-0.078567,-0.092315,0.107065,0.074008,2.500000,0.666667,0.833333
group,rated-only,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.145753,-0.077463,-0.091236,0.107592,0.074070,1.666667,0.666667,0.833333
finish_quintile,all,LLR,,,top 20%,663,0.051026,0.036312,0.033654,0.045302,0.032192,6.996983,0.757164,0.963801
finish_quintile,all,LLR,,,20-40%,651,0.059892,0.024596,0.021632,0.046137,0.033514,12.961598,0.691244,0.932412
finish_quintile,all,LLR,,,40-60%,620,0.063439,0.014740,0.011585,0.043555,0.031120,16.572581,0.672581,0.940323
finish_quintile,all,LLR,,,60-80%,565,0.075702,-0.000840,-0.004344,0.045423,0.032646,18.805310,0.638938,0.915044
finish_quintile,all,LLR,,,bottom 20%,456,0.200973,-0.159210,-0.164674,0.066429,0.052804,27.250000,0.519737,0.780702
finish_quintile,rated-only,LLR,,,top 20%,575,0.050941,0.038389,0.035826,0.045637,0.032539,7.271304,0.760000,0.961739
