scope,mode,algorithm,project,group,bucket,n,mape,mpe,mpe_arith,mae,crps,rank_mae,coverage_1sigma,coverage_2sigma
overall,all,LLR,,,,2947,0.083774,-0.016552,-0.018811,0.047818,0.035635,15.725484,0.575840,0.858839
overall,rated-only,LLR,,,,2946,0.083589,-0.014049,-0.016289,0.047933,0.035712,10.196877,0.569925,0.856415
group,all,LLR,L2s Main LLR Backtesting,Open,,531,0.105494,-0.042784,-0.044908,0.047972,0.036374,9.642185,0.585687,0.881356
group,rated-only,LLR,L2s Main LLR Backtesting,Open,,531,0.105462,-0.042829,-0.044948,0.047945,0.036356,7.555556,0.583804,0.879473
group,all,LLR,L2s Main LLR Backtesting,Limited,,73,0.124268,-0.023966,-0.027512,0.075338,0.057501,2.150685,0.438356,0.753425
group,rated-only,LLR,L2s Main LLR Backtesting,Limited,,74,0.122335,0.013593,0.010195,0.077689,0.059337,1.202703,0.391892,0.702703
group,all,LLR,L2s Main LLR Backtesting,PCC,,327,0.076226,-0.017146,-0.018986,0.045216,0.033818,6.015291,0.556575,0.837920
group,rated-only,LLR,L2s Main LLR Backtesting,PCC,,327,0.076279,-0.017130,-0.018965,0.045295,0.033867,4.593272,0.556575,0.837920
group,all,LLR,L2s Main LLR Backtesting,Limited Optics,,711,0.077491,-0.002393,-0.004853,0.049493,0.035926,23.877637,0.569620,0.870605
group,rated-only,LLR,L2s Main LLR Backtesting,Limited Optics,,710,0.077641,0.002699,0.000266,0.050172,0.036338,9.540845,0.552113,0.869014
group,all,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.074229,-0.006787,-0.008778,0.045014,0.033654,19.884404,0.580734,0.853211
group,rated-only,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.073657,-0.005820,-0.007799,0.044668,0.033421,15.866972,0.580734,0.852294
group,all,LLR,L2s Main LLR Backtesting,Production,,101,0.085495,-0.040595,-0.042989,0.047058,0.036114,2.376238,0.653465,0.841584
group,rated-only,LLR,L2s Main LLR Backtesting,Production,,100,0.086222,-0.040804,-0.043212,0.047401,0.036406,1.990000,0.650000,0.840000
group,all,LLR,L2s Main LLR Backtesting,Single Stack,,66,0.122334,-0.048834,-0.054075,0.057986,0.043693,1.954545,0.590909,0.863636
group,rated-only,LLR,L2s Main LLR Backtesting,Single Stack,,66,0.122486,-0.049606,-0.054703,0.057955,0.043721,1.742424,0.590909,0.863636
group,all,LLR,L2s Main LLR Backtesting,Revolver,,42,0.082116,-0.041530,-0.044008,0.043462,0.031221,1.619048,0.595238,0.904762
group,rated-only,LLR,L2s Main LLR Backtesting,Revolver,,42,0.082095,-0.041464,-0.043934,0.043453,0.031210,1.142857,0.595238,0.904762
group,all,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.117289,-0.089498,-0.099231,0.083275,0.062899,1.833333,0.666667,0.833333
group,rated-only,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.115467,-0.087707,-0.097270,0.081848,0.062171,1.000000,0.666667,0.833333
finish_quintile,all,LLR,,,top 20%,657,0.049331,0.030993,0.029338,0.043595,0.031259,7.077626,0.656012,0.917808
finish_quintile,all,LLR,,,20-40%,650,0.057854,0.020307,0.018415,0.044522,0.032576,12.978462,0.618462,0.889231
finish_quintile,all,LLR,,,40-60%,620,0.062004,0.008346,0.006290,0.042540,0.030593,16.604839,0.593548,0.893548
finish_quintile,all,LLR,,,60-80%,564,0.074087,-0.009764,-0.012109,0.044304,0.032599,18.721631,0.533688,0.851064
finish_quintile,all,LLR,,,bottom 20%,456,0.211927,-0.179843,-0.183664,0.070120,0.056911,27.199561,0.427632,0.692982
finish_quintile,rated-only,LLR,,,top 20%,569,0.049052,0.033232,0.031648,0.043724,0.031593,7.381371,0.650264,0.908612
finish_quintile,rated-only,LLR,,,20-40%,600,0.056074,0.024738,0.022895,0.044311,0.032213,11.838333,0.616667,0.900000
finish_quintile,rated-only,LLR,,,40-60%,612,0.063117,0.017347,0.015357,0.044456,0.032176,12.803922,0.576797,0.870915
finish_quintile,rated-only,LLR,,,60-80%,604,0.066793,0.000021,-0.002226,0.041650,0.030030,10.283113,0.566225,0.874172
finish_quintile,rated-only,LLR,,,bottom 20%,561,0.188464,-0.152886,-0.156481,0.066633,0.053610,8.360071,0.434938,0.721925
rating_quintile,all,LLR,,,top 20%,745,0.057999,-0.011831,-0.013570,0.042786,0.031848,10.602685,0.685906,0.924832
rating_quintile,all,LLR,,,20-40%,783,0.067107,-0.006540,-0.008606,0.046654,0.034120,16.564496,0.614304,0.896552
rating_quintile,all,LLR,,,40-60%,759,0.095997,-0.013580,-0.015847,0.051072,0.038239,19.486166,0.511199,0.820817
rating_quintile,all,LLR,,,60-80%,532,0.101491,-0.020075,-0.022956,0.049334,0.036979,17.330827,0.501880,0.804511
rating_quintile,all,LLR,,,bottom 20%,128,0.189634,-0.108255,-0.112082,0.058621,0.045919,11.437500,0.390625,0.695313
rating_quintile,rated-only,LLR,,,top 20%,559,0.055439,-0.008811,-0.010405,0.041358,0.031043,7.690519,0.704830,0.924866
rating_quintile,rated-only,LLR,,,20-40%,595,0.062199,-0.005588,-0.007485,0.045198,0.032957,11.946218,0.610084,0.909244
rating_quintile,rated-only,LLR,,,40-60%,598,0.086476,-0.015707,-0.017753,0.048114,0.035863,12.926421,0.586957,0.864548
rating_quintile,rated-only,LLR,,,60-80%,594,0.083498,0.002638,0.000417,0.050691,0.037090,10.917508,0.484848,0.819865
rating_quintile,rated-only,LLR,,,bottom 20%,600,0.128242,-0.042186,-0.045581,0.053861,0.041281,7.363333,0.471667,0.768333
