scope,mode,algorithm,project,group,bucket,n,mape,mpe,mpe_arith,mae,crps,rank_mae,coverage_1sigma,coverage_2sigma
overall,all,LLR,,,,2951,0.083142,-0.012596,-0.015274,0.047880,0.035455,15.723484,0.613351,0.877669
overall,rated-only,LLR,,,,2952,0.082913,-0.010078,-0.012751,0.047970,0.035532,10.163618,0.611111,0.878388
group,all,LLR,L2s Main LLR Backtesting,Open,,532,0.104735,-0.041299,-0.043797,0.047845,0.036115,9.509398,0.622180,0.892857
group,rated-only,LLR,L2s Main LLR Backtesting,Open,,532,0.104712,-0.041114,-0.043595,0.047848,0.036114,7.475564,0.616541,0.892857
group,all,LLR,L2s Main LLR Backtesting,Limited,,74,0.118925,-0.017040,-0.021449,0.073047,0.055407,2.189189,0.486486,0.756757
group,rated-only,LLR,L2s Main LLR Backtesting,Limited,,75,0.117603,0.019550,0.015314,0.075580,0.057651,1.200000,0.453333,0.746667
group,all,LLR,L2s Main LLR Backtesting,PCC,,328,0.075984,-0.014516,-0.016550,0.045412,0.033718,5.990854,0.588415,0.844512
group,rated-only,LLR,L2s Main LLR Backtesting,PCC,,328,0.076042,-0.014643,-0.016679,0.045488,0.033755,4.597561,0.585366,0.844512
group,all,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.076035,0.001799,-0.001124,0.048849,0.035201,23.724719,0.617978,0.898876
group,rated-only,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.076024,0.006855,0.003947,0.049401,0.035564,9.369382,0.613764,0.904494
group,all,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.074370,-0.001137,-0.003543,0.045628,0.033879,20.055963,0.619266,0.874312
group,rated-only,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.073829,-0.000268,-0.002672,0.045297,0.033674,15.945872,0.622018,0.873394
group,all,LLR,L2s Main LLR Backtesting,Production,,101,0.086208,-0.039157,-0.042127,0.047681,0.036425,2.396040,0.693069,0.861386
group,rated-only,LLR,L2s Main LLR Backtesting,Production,,101,0.086208,-0.039154,-0.042115,0.047690,0.036391,1.980198,0.683168,0.861386
group,all,LLR,L2s Main LLR Backtesting,Single Stack,,66,0.122254,-0.052724,-0.058518,0.058339,0.044105,2.121212,0.560606,0.878788
group,rated-only,LLR,L2s Main LLR Backtesting,Single Stack,,66,0.122006,-0.051618,-0.057690,0.058291,0.044153,1.878788,0.575758,0.878788
group,all,LLR,L2s Main LLR Backtesting,Revolver,,42,0.072726,-0.030688,-0.033491,0.040749,0.029094,1.523810,0.571429,0.928571
group,rated-only,LLR,L2s Main LLR Backtesting,Revolver,,42,0.072681,-0.030569,-0.033340,0.040720,0.029066,1.000000,0.571429,0.928571
group,all,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.146611,-0.082579,-0.095470,0.107769,0.075147,2.500000,0.666667,0.833333
group,rated-only,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.145665,-0.080662,-0.093821,0.107233,0.074295,1.666667,0.666667,0.833333
finish_quintile,all,LLR,,,top 20%,661,0.048808,0.031038,0.029065,0.043212,0.030882,7.021180,0.709531,0.940998
finish_quintile,all,LLR,,,20-40%,650,0.058949,0.020543,0.018306,0.045366,0.033020,12.980000,0.644615,0.906154
finish_quintile,all,LLR,,,40-60%,620,0.063075,0.010732,0.008323,0.043266,0.031135,16.569355,0.629032,0.900000
finish_quintile,all,LLR,,,60-80%,564,0.075964,-0.005065,-0.007822,0.045530,0.033139,18.833333,0.563830,0.870567
finish_quintile,all,LLR,,,bottom 20%,456,0.203560,-0.164116,-0.168714,0.067409,0.054291,27.252193,0.469298,0.723684
finish_quintile,rated-only,LLR,,,top 20%,573,0.048436,0.033104,0.031198,0.043267,0.031085,7.280977,0.708551,0.937173
finish_quintile,rated-only,LLR,,,20-40%,601,0.056772,0.024976,0.022776,0.044880,0.032431,11.835275,0.645591,0.921797
finish_quintile,rated-only,LLR,,,40-60%,613,0.064092,0.019083,0.016721,0.045158,0.032733,12.822186,0.619902,0.889070
finish_quintile,rated-only,LLR,,,60-80%,604,0.068842,0.003805,0.001145,0.042959,0.030771,10.273179,0.591060,0.884106
finish_quintile,rated-only,LLR,,,bottom 20%,561,0.181847,-0.138549,-0.142868,0.064553,0.051582,8.294118,0.486631,0.754011
rating_quintile,all,LLR,,,top 20%,750,0.057787,-0.012853,-0.014906,0.042523,0.031550,10.373333,0.729333,0.945333
rating_quintile,all,LLR,,,20-40%,782,0.066184,-0.004842,-0.007293,0.046239,0.033611,16.707161,0.657289,0.923274
rating_quintile,all,LLR,,,40-60%,760,0.095885,-0.006606,-0.009281,0.051822,0.038441,19.443421,0.550000,0.836842
rating_quintile,all,LLR,,,60-80%,532,0.104427,-0.015028,-0.018488,0.050445,0.037772,17.473684,0.528195,0.808271
rating_quintile,all,LLR,,,bottom 20%,127,0.171879,-0.084480,-0.088986,0.055278,0.042292,11.669291,0.393701,0.732283
rating_quintile,rated-only,LLR,,,top 20%,564,0.055666,-0.009898,-0.011791,0.041388,0.030902,7.677305,0.739362,0.952128
rating_quintile,rated-only,LLR,,,20-40%,594,0.060705,-0.005214,-0.007481,0.044183,0.032122,11.693603,0.678451,0.932660
