scope,mode,algorithm,project,group,bucket,n,mape,mpe,mpe_arith,mae,crps,rank_mae,coverage_1sigma,coverage_2sigma
overall,all,LLR,,,,2953,0.082801,-0.014657,-0.017010,0.047465,0.035279,15.611581,0.589909,0.866915
overall,rated-only,LLR,,,,2952,0.082653,-0.012301,-0.014659,0.047603,0.035378,10.091125,0.588753,0.866870
group,all,LLR,L2s Main LLR Backtesting,Open,,532,0.104710,-0.039937,-0.042264,0.048045,0.036233,9.592105,0.603383,0.887218
group,rated-only,LLR,L2s Main LLR Backtesting,Open,,532,0.104669,-0.039860,-0.042175,0.048023,0.036214,7.501880,0.603383,0.887218
group,all,LLR,L2s Main LLR Backtesting,Limited,,74,0.119963,-0.017864,-0.021449,0.073521,0.055808,2.148649,0.445946,0.743243
group,rated-only,LLR,L2s Main LLR Backtesting,Limited,,74,0.120813,0.019147,0.015710,0.077523,0.058948,1.229730,0.378378,0.716216
group,all,LLR,L2s Main LLR Backtesting,PCC,,329,0.074958,-0.016524,-0.018484,0.044492,0.033123,5.884498,0.580547,0.854103
group,rated-only,LLR,L2s Main LLR Backtesting,PCC,,329,0.075036,-0.016521,-0.018472,0.044588,0.033185,4.458967,0.577508,0.851064
group,all,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.077351,-0.001058,-0.003329,0.049466,0.036016,23.803371,0.546348,0.856742
group,rated-only,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.077372,0.003656,0.001353,0.050033,0.036351,9.448034,0.542135,0.856742
group,all,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.073422,-0.005705,-0.007893,0.044574,0.033188,19.735780,0.613761,0.876147
group,rated-only,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.072858,-0.004961,-0.007160,0.044228,0.032975,15.736697,0.618349,0.878899
group,all,LLR,L2s Main LLR Backtesting,Production,,101,0.083427,-0.037211,-0.039721,0.046074,0.035456,2.346535,0.693069,0.841584
group,rated-only,LLR,L2s Main LLR Backtesting,Production,,101,0.083403,-0.037167,-0.039675,0.046057,0.035420,1.930693,0.693069,0.841584
group,all,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.116735,-0.040136,-0.046012,0.056416,0.042332,1.925373,0.597015,0.880597
group,rated-only,LLR,L2s Main LLR Backtesting,Single Stack,,66,0.118594,-0.040273,-0.046170,0.057423,0.043068,1.742424,0.590909,0.878788
group,all,LLR,L2s Main LLR Backtesting,Revolver,,42,0.075684,-0.031337,-0.033730,0.041975,0.029739,1.571429,0.595238,0.904762
group,rated-only,LLR,L2s Main LLR Backtesting,Revolver,,42,0.075828,-0.031793,-0.034293,0.042026,0.029784,1.047619,0.619048,0.904762
group,all,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.122857,-0.090441,-0.098782,0.087546,0.065348,1.833333,0.666667,0.833333
group,rated-only,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.123630,-0.089423,-0.097697,0.088364,0.065695,1.000000,0.666667,0.833333
finish_quintile,all,LLR,,,top 20%,662,0.049437,0.032062,0.030315,0.043732,0.031248,6.963746,0.672205,0.930514
finish_quintile,all,LLR,,,20-40%,651,0.057361,0.021558,0.019582,0.044173,0.032340,12.777266,0.628264,0.897081
finish_quintile,all,LLR,,,40-60%,620,0.061530,0.009674,0.007568,0.042219,0.030291,16.503226,0.601613,0.898387
finish_quintile,all,LLR,,,60-80%,564,0.073402,-0.008706,-0.011144,0.043955,0.032216,18.684397,0.547872,0.858156
finish_quintile,all,LLR,,,bottom 20%,456,0.208102,-0.174627,-0.178628,0.069060,0.055902,27.199561,0.451754,0.699561
finish_quintile,rated-only,LLR,,,top 20%,574,0.049241,0.034247,0.032532,0.043943,0.031667,7.247387,0.674216,0.919861
finish_quintile,rated-only,LLR,,,20-40%,601,0.055661,0.025767,0.023819,0.044010,0.031994,11.670549,0.623960,0.911814
finish_quintile,rated-only,LLR,,,40-60%,612,0.062726,0.018554,0.016478,0.044190,0.031906,12.696078,0.598039,0.883987
finish_quintile,rated-only,LLR,,,60-80%,604,0.066186,0.000798,-0.001554,0.041275,0.029669,10.203642,0.582781,0.882450
finish_quintile,rated-only,LLR,,,bottom 20%,561,0.185224,-0.148472,-0.152243,0.065732,0.052733,8.345811,0.459893,0.729055
rating_quintile,all,LLR,,,top 20%,750,0.058362,-0.009815,-0.011636,0.042903,0.031935,10.306667,0.704000,0.938667
rating_quintile,all,LLR,,,20-40%,784,0.066050,-0.005006,-0.007111,0.046241,0.033608,16.542092,0.618622,0.896684
rating_quintile,all,LLR,,,40-60%,760,0.094267,-0.011069,-0.013403,0.050407,0.037648,19.340789,0.523684,0.830263
rating_quintile,all,LLR,,,60-80%,531,0.104504,-0.023248,-0.026332,0.049750,0.037473,17.406780,0.527307,0.809793
rating_quintile,all,LLR,,,bottom 20%,128,0.170481,-0.087810,-0.091879,0.054759,0.041950,11.406250,0.398438,0.718750
rating_quintile,rated-only,LLR,,,top 20%,565,0.055019,-0.007070,-0.008804,0.041182,0.030786,7.594690,0.722124,0.946903
rating_quintile,rated-only,LLR,,,20-40%,595,0.062161,-0.003369,-0.005372,0.045276,0.033009,11.757983,0.631933,0.914286
rating_quintile,rated-only,LLR,,,40-60%,601,0.083465,-0.013450,-0.015576,0.046897,0.034798,12.757072,0.610649,0.870216
rating_quintile,rated-only,LLR,,,60-80%,591,0.085047,0.001859,-0.000427,0.051029,0.037355,10.851100,0.495770,0.825719
rating_quintile,rated-only,LLR,,,bottom 20%,600,0.125826,-0.038882,-0.042483,0.053289,0.040684,7.370000,0.490000,0.781667
