scope,mode,algorithm,project,group,bucket,n,mape,mpe,mpe_arith,mae,crps,rank_mae,coverage_1sigma,coverage_2sigma
overall,all,LLR,,,,2953,0.082950,-0.011895,-0.014574,0.047735,0.035373,15.591940,0.609550,0.873010
overall,rated-only,LLR,,,,2952,0.082949,-0.009527,-0.012196,0.047967,0.035562,10.093157,0.606707,0.870257
group,all,LLR,L2s Main LLR Backtesting,Open,,532,0.104930,-0.037851,-0.040698,0.048312,0.036200,9.522556,0.650376,0.906015
group,rated-only,LLR,L2s Main LLR Backtesting,Open,,532,0.104896,-0.038074,-0.040956,0.048267,0.036179,7.481203,0.661654,0.906015
group,all,LLR,L2s Main LLR Backtesting,Limited,,74,0.118433,-0.011867,-0.015931,0.073252,0.055468,2.135135,0.459459,0.783784
group,rated-only,LLR,L2s Main LLR Backtesting,Limited,,74,0.120317,0.024612,0.020647,0.077814,0.059165,1.243243,0.405405,0.743243
group,all,LLR,L2s Main LLR Backtesting,PCC,,329,0.075636,-0.014857,-0.017043,0.045072,0.033419,5.887538,0.601824,0.848024
group,rated-only,LLR,L2s Main LLR Backtesting,PCC,,328,0.075897,-0.015005,-0.017202,0.045262,0.033545,4.475610,0.600610,0.847561
group,all,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.077472,0.003620,0.001369,0.049852,0.036269,23.846910,0.550562,0.853933
group,rated-only,LLR,L2s Main LLR Backtesting,Limited Optics,,711,0.077925,0.008755,0.006526,0.050748,0.036893,9.510549,0.530239,0.850914
group,all,LLR,L2s Main LLR Backtesting,Carry Optics,,1091,0.073218,-0.004126,-0.006642,0.044507,0.033097,19.672777,0.626948,0.880843
group,rated-only,LLR,L2s Main LLR Backtesting,Carry Optics,,1091,0.072807,-0.003332,-0.005841,0.044269,0.032964,15.703025,0.630614,0.878093
group,all,LLR,L2s Main LLR Backtesting,Production,,101,0.085137,-0.036050,-0.039326,0.047115,0.035976,2.386139,0.712871,0.861386
group,rated-only,LLR,L2s Main LLR Backtesting,Production,,101,0.085159,-0.036042,-0.039333,0.047132,0.035996,1.970297,0.712871,0.861386
group,all,LLR,L2s Main LLR Backtesting,Single Stack,,66,0.116922,-0.028106,-0.036209,0.058543,0.043227,1.848485,0.681818,0.909091
group,rated-only,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.115032,-0.028773,-0.036428,0.057368,0.042496,1.641791,0.686567,0.910448
group,all,LLR,L2s Main LLR Backtesting,Revolver,,42,0.080486,-0.030654,-0.033369,0.043024,0.030826,1.571429,0.595238,0.904762
group,rated-only,LLR,L2s Main LLR Backtesting,Revolver,,42,0.080431,-0.030544,-0.033221,0.042997,0.030803,1.095238,0.595238,0.904762
group,all,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.124104,-0.085820,-0.094386,0.088230,0.063826,1.833333,0.666667,0.833333
group,rated-only,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.123600,-0.084389,-0.092963,0.087994,0.063525,1.000000,0.666667,0.833333
finish_quintile,all,LLR,,,top 20%,663,0.050080,0.033411,0.031476,0.044388,0.031596,6.907994,0.689291,0.936652
finish_quintile,all,LLR,,,20-40%,650,0.058187,0.023227,0.021017,0.044845,0.032812,12.818462,0.640000,0.901538
finish_quintile,all,LLR,,,40-60%,620,0.062204,0.012340,0.009966,0.042685,0.030573,16.425806,0.625806,0.898387
finish_quintile,all,LLR,,,60-80%,564,0.073688,-0.005020,-0.007826,0.044177,0.032272,18.643617,0.569149,0.868794
finish_quintile,all,LLR,,,bottom 20%,456,0.205706,-0.169284,-0.173977,0.067988,0.054875,27.263158,0.478070,0.710526
finish_quintile,rated-only,LLR,,,top 20%,572,0.050394,0.035837,0.033939,0.045055,0.032264,7.284965,0.683566,0.926573
finish_quintile,rated-only,LLR,,,20-40%,602,0.056136,0.027106,0.024955,0.044412,0.032327,11.646179,0.632890,0.916944
finish_quintile,rated-only,LLR,,,40-60%,613,0.063631,0.020863,0.018525,0.044862,0.032401,12.680261,0.621533,0.877651
finish_quintile,rated-only,LLR,,,60-80%,604,0.066743,0.004313,0.001626,0.041651,0.029847,10.165563,0.602649,0.889073
finish_quintile,rated-only,LLR,,,bottom 20%,561,0.183475,-0.143197,-0.147550,0.064947,0.052005,8.385027,0.488414,0.734403
rating_quintile,all,LLR,,,top 20%,750,0.058241,-0.008661,-0.010646,0.042895,0.031741,10.421333,0.720000,0.942667
rating_quintile,all,LLR,,,20-40%,783,0.066285,-0.002629,-0.004995,0.046609,0.033937,16.357599,0.636015,0.904215
rating_quintile,all,LLR,,,40-60%,761,0.094621,-0.007483,-0.010131,0.050890,0.037794,19.350854,0.547963,0.839685
rating_quintile,all,LLR,,,60-80%,531,0.103868,-0.017509,-0.021066,0.049763,0.037451,17.295669,0.544256,0.811676
rating_quintile,all,LLR,,,bottom 20%,128,0.173513,-0.090460,-0.095675,0.055809,0.042422,11.789063,0.437500,0.726563
rating_quintile,rated-only,LLR,,,top 20%,563,0.056100,-0.006093,-0.007996,0.042115,0.031343,7.618117,0.724689,0.944938
rating_quintile,rated-only,LLR,,,20-40%,595,0.060767,-0.002088,-0.004311,0.044382,0.032270,11.628571,0.657143,0.931092
rating_quintile,rated-only,LLR,,,40-60%,603,0.084771,-0.011388,-0.013774,0.047899,0.035517,12.895522,0.620232,0.880597
rating_quintile,rated-only,LLR,,,60-80%,592,0.085865,0.005886,0.003302,0.051803,0.037776,10.834459,0.523649,0.820946
rating_quintile,rated-only,LLR,,,bottom 20%,599,0.125505,-0.033502,-0.037704,0.053308,0.040658,7.340568,0.514190,0.777963
