scope,mode,algorithm,project,group,bucket,n,mape,mpe,mpe_arith,mae,crps,rank_mae,coverage_1sigma,coverage_2sigma
overall,all,LLR,,,,2955,0.082390,-0.017949,-0.020056,0.047034,0.035239,15.570220,0.567174,0.847377
overall,rated-only,LLR,,,,2953,0.082230,-0.015552,-0.017662,0.047155,0.035325,10.073823,0.565188,0.846935
group,all,LLR,L2s Main LLR Backtesting,Open,,532,0.104402,-0.042988,-0.044951,0.047597,0.036276,9.592105,0.575188,0.866541
group,rated-only,LLR,L2s Main LLR Backtesting,Open,,532,0.104386,-0.042828,-0.044780,0.047602,0.036276,7.539474,0.571429,0.866541
group,all,LLR,L2s Main LLR Backtesting,Limited,,74,0.119945,-0.020255,-0.023479,0.073286,0.056013,2.108108,0.418919,0.729730
group,rated-only,LLR,L2s Main LLR Backtesting,Limited,,73,0.122448,0.016839,0.013654,0.078350,0.059928,1.205479,0.369863,0.684932
group,all,LLR,L2s Main LLR Backtesting,PCC,,330,0.074442,-0.018974,-0.020630,0.043985,0.033093,5.854545,0.527273,0.815152
group,rated-only,LLR,L2s Main LLR Backtesting,PCC,,329,0.074712,-0.019295,-0.020972,0.044175,0.033211,4.465046,0.522796,0.823708
group,all,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.076979,-0.007191,-0.009279,0.048825,0.035873,23.726124,0.532303,0.842697
group,rated-only,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.076757,-0.002007,-0.004075,0.049240,0.036143,9.384831,0.523876,0.841292
group,all,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.073096,-0.007823,-0.009864,0.044353,0.033187,19.700000,0.599083,0.854128
group,rated-only,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.072604,-0.007183,-0.009239,0.044043,0.032972,15.717431,0.604587,0.854128
group,all,LLR,L2s Main LLR Backtesting,Production,,101,0.082699,-0.037632,-0.039853,0.045586,0.035409,2.386139,0.663366,0.841584
group,rated-only,LLR,L2s Main LLR Backtesting,Production,,101,0.082709,-0.037720,-0.039941,0.045590,0.035412,1.970297,0.663366,0.841584
group,all,LLR,L2s Main LLR Backtesting,Single Stack,,68,0.115695,-0.047054,-0.052006,0.055118,0.041641,1.955882,0.573529,0.882353
group,rated-only,LLR,L2s Main LLR Backtesting,Single Stack,,68,0.115689,-0.046844,-0.051834,0.055116,0.041669,1.720588,0.588235,0.882353
group,all,LLR,L2s Main LLR Backtesting,Revolver,,42,0.071395,-0.027526,-0.029490,0.040693,0.029062,1.571429,0.571429,0.928571
group,rated-only,LLR,L2s Main LLR Backtesting,Revolver,,42,0.071588,-0.028066,-0.030128,0.040782,0.029081,1.047619,0.571429,0.928571
group,all,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.129520,-0.101086,-0.108154,0.092863,0.070377,2.166667,0.500000,0.833333
group,rated-only,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.126289,-0.098362,-0.105389,0.090335,0.068511,1.000000,0.500000,0.833333
finish_quintile,all,LLR,,,top 20%,663,0.048049,0.028922,0.027396,0.042427,0.030530,6.883861,0.657617,0.915535
finish_quintile,all,LLR,,,20-40%,651,0.056443,0.018656,0.016934,0.043440,0.031982,12.741935,0.606759,0.881720
finish_quintile,all,LLR,,,40-60%,620,0.060988,0.006398,0.004571,0.041834,0.030202,16.470968,0.583871,0.877419
finish_quintile,all,LLR,,,60-80%,565,0.073354,-0.012529,-0.014729,0.043893,0.032491,18.626549,0.513274,0.838938
finish_quintile,all,LLR,,,bottom 20%,456,0.209657,-0.178174,-0.181944,0.069827,0.056988,27.225877,0.423246,0.668860
finish_quintile,rated-only,LLR,,,top 20%,573,0.047850,0.031217,0.029719,0.042619,0.030948,7.202443,0.661431,0.904014
finish_quintile,rated-only,LLR,,,20-40%,602,0.054709,0.022928,0.021238,0.043239,0.031559,11.619601,0.607973,0.895349
finish_quintile,rated-only,LLR,,,40-60%,613,0.061748,0.015372,0.013573,0.043470,0.031606,12.660685,0.569331,0.862969
finish_quintile,rated-only,LLR,,,60-80%,604,0.066119,-0.002929,-0.005026,0.041212,0.029862,10.245033,0.548013,0.865894
finish_quintile,rated-only,LLR,,,bottom 20%,561,0.186606,-0.151996,-0.155532,0.066418,0.053783,8.336898,0.434938,0.698752
rating_quintile,all,LLR,,,top 20%,752,0.057865,-0.012128,-0.013717,0.042399,0.031693,10.106383,0.683511,0.922872
rating_quintile,all,LLR,,,20-40%,783,0.065604,-0.008371,-0.010200,0.045739,0.033508,16.641124,0.590038,0.886335
rating_quintile,all,LLR,,,40-60%,760,0.095225,-0.017519,-0.019611,0.050272,0.038113,19.294737,0.506579,0.796053
rating_quintile,all,LLR,,,60-80%,531,0.102775,-0.023892,-0.026777,0.049218,0.037173,17.421846,0.500942,0.790960
rating_quintile,all,LLR,,,bottom 20%,129,0.167714,-0.088094,-0.091794,0.053850,0.041519,11.356589,0.379845,0.705426
