scope,mode,algorithm,project,group,bucket,n,mape,mpe,mpe_arith,mae,crps,rank_mae,coverage_1sigma,coverage_2sigma
overall,all,LLR,,,,2953,0.082770,-0.014514,-0.016910,0.047454,0.035240,15.609550,0.596681,0.870979
overall,rated-only,LLR,,,,2952,0.082705,-0.012077,-0.014480,0.047653,0.035387,10.090447,0.592480,0.869580
group,all,LLR,L2s Main LLR Backtesting,Open,,532,0.104714,-0.039768,-0.042142,0.048062,0.036223,9.588346,0.609023,0.889098
group,rated-only,LLR,L2s Main LLR Backtesting,Open,,532,0.104733,-0.039765,-0.042137,0.048073,0.036232,7.498120,0.610902,0.889098
group,all,LLR,L2s Main LLR Backtesting,Limited,,74,0.119784,-0.017564,-0.021136,0.073410,0.055722,2.121622,0.445946,0.756757
group,rated-only,LLR,L2s Main LLR Backtesting,Limited,,74,0.120880,0.019146,0.015646,0.077573,0.058905,1.229730,0.391892,0.716216
group,all,LLR,L2s Main LLR Backtesting,PCC,,329,0.074985,-0.016401,-0.018399,0.044525,0.033109,5.884498,0.580547,0.857143
group,rated-only,LLR,L2s Main LLR Backtesting,PCC,,329,0.075026,-0.016383,-0.018382,0.044589,0.033136,4.458967,0.580547,0.857143
group,all,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.077273,-0.000990,-0.003318,0.049411,0.035935,23.803371,0.557584,0.865169
group,rated-only,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.077472,0.004109,0.001781,0.050132,0.036398,9.448034,0.542135,0.863764
group,all,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.073387,-0.005521,-0.007755,0.044561,0.033149,19.733945,0.621101,0.878899
group,rated-only,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.072890,-0.004749,-0.006988,0.044262,0.032977,15.736697,0.622018,0.878899
group,all,LLR,L2s Main LLR Backtesting,Production,,101,0.083443,-0.037116,-0.039671,0.046098,0.035465,2.346535,0.693069,0.841584
group,rated-only,LLR,L2s Main LLR Backtesting,Production,,101,0.083458,-0.037111,-0.039658,0.046111,0.035464,1.930693,0.693069,0.841584
group,all,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.116651,-0.039936,-0.045705,0.056398,0.042263,1.925373,0.597015,0.880597
group,rated-only,LLR,L2s Main LLR Backtesting,Single Stack,,66,0.118543,-0.039983,-0.046024,0.057415,0.042999,1.742424,0.606061,0.878788
group,all,LLR,L2s Main LLR Backtesting,Revolver,,42,0.075717,-0.031387,-0.033821,0.042000,0.029742,1.571429,0.619048,0.904762
group,rated-only,LLR,L2s Main LLR Backtesting,Revolver,,42,0.075964,-0.032093,-0.034688,0.042100,0.029820,1.047619,0.619048,0.904762
group,all,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.123746,-0.090439,-0.098740,0.088326,0.065771,1.833333,0.666667,0.833333
group,rated-only,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.124088,-0.089576,-0.098094,0.088796,0.065728,1.000000,0.666667,0.833333
finish_quintile,all,LLR,,,top 20%,662,0.049468,0.032266,0.030480,0.043766,0.031247,6.954683,0.684290,0.933535
finish_quintile,all,LLR,,,20-40%,651,0.057347,0.021682,0.019665,0.044163,0.032315,12.778802,0.632873,0.901690
