scope,mode,algorithm,project,group,bucket,n,mape,mpe,mpe_arith,mae,crps,rank_mae,coverage_1sigma,coverage_2sigma
overall,all,LLR,,,,2954,0.082615,-0.018700,-0.020738,0.047120,0.035365,15.592417,0.561950,0.843602
overall,rated-only,LLR,,,,2955,0.082323,-0.016423,-0.018468,0.047153,0.035378,10.075804,0.560745,0.843316
group,all,LLR,L2s Main LLR Backtesting,Open,,532,0.104420,-0.043152,-0.045093,0.047590,0.036278,9.601504,0.575188,0.864662
group,rated-only,LLR,L2s Main LLR Backtesting,Open,,532,0.104408,-0.043291,-0.045245,0.047570,0.036245,7.507519,0.573308,0.866541
group,all,LLR,L2s Main LLR Backtesting,Limited,,74,0.121130,-0.021722,-0.024870,0.073941,0.056769,2.135135,0.405405,0.729730
group,rated-only,LLR,L2s Main LLR Backtesting,Limited,,74,0.121567,0.015082,0.012002,0.077584,0.059552,1.189189,0.351351,0.689189
group,all,LLR,L2s Main LLR Backtesting,PCC,,329,0.074859,-0.018972,-0.020619,0.044260,0.033262,5.869301,0.528875,0.814590
group,rated-only,LLR,L2s Main LLR Backtesting,PCC,,330,0.074734,-0.019085,-0.020731,0.044224,0.033212,4.442424,0.530303,0.824242
group,all,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.077129,-0.008191,-0.010262,0.048866,0.035926,23.772472,0.540730,0.839888
group,rated-only,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.076873,-0.003306,-0.005389,0.049240,0.036147,9.428371,0.535112,0.839888
group,all,LLR,L2s Main LLR Backtesting,Carry Optics,,1091,0.073285,-0.008820,-0.010716,0.044391,0.033335,19.701192,0.580202,0.848763
group,rated-only,LLR,L2s Main LLR Backtesting,Carry Optics,,1091,0.072682,-0.008252,-0.010160,0.044012,0.033074,15.725940,0.586618,0.846929
group,all,LLR,L2s Main LLR Backtesting,Production,,101,0.082403,-0.038218,-0.040313,0.045376,0.035386,2.326733,0.653465,0.841584
group,rated-only,LLR,L2s Main LLR Backtesting,Production,,101,0.082418,-0.038176,-0.040265,0.045395,0.035379,1.910891,0.653465,0.841584
group,all,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.117717,-0.047533,-0.052427,0.056066,0.042552,1.925373,0.567164,0.850746
group,rated-only,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.117857,-0.047720,-0.052603,0.056129,0.042612,1.686567,0.567164,0.850746
group,all,LLR,L2s Main LLR Backtesting,Revolver,,42,0.072598,-0.031524,-0.033655,0.041122,0.029275,1.571429,0.595238,0.928571
group,rated-only,LLR,L2s Main LLR Backtesting,Revolver,,42,0.072513,-0.031141,-0.033205,0.041098,0.029250,1.047619,0.547619,0.928571
group,all,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.128576,-0.101580,-0.108530,0.092066,0.070129,2.166667,0.500000,0.833333
group,rated-only,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.127374,-0.099802,-0.106748,0.091265,0.069274,1.000000,0.500000,0.833333
finish_quintile,all,LLR,,,top 20%,663,0.048092,0.028759,0.027268,0.042459,0.030605,6.948718,0.654600,0.909502
finish_quintile,all,LLR,,,20-40%,651,0.056387,0.018360,0.016684,0.043396,0.032012,12.743472,0.597542,0.877112
finish_quintile,all,LLR,,,40-60%,620,0.060919,0.005783,0.003999,0.041785,0.030204,16.482258,0.575806,0.870968
finish_quintile,all,LLR,,,60-80%,564,0.073541,-0.013620,-0.015728,0.043988,0.032610,18.691489,0.514184,0.836879
finish_quintile,all,LLR,,,bottom 20%,456,0.210975,-0.180182,-0.183791,0.070343,0.057495,27.184211,0.416667,0.671053
finish_quintile,rated-only,LLR,,,top 20%,575,0.047621,0.030918,0.029453,0.042415,0.030876,7.233043,0.664348,0.900870
finish_quintile,rated-only,LLR,,,20-40%,602,0.054595,0.022550,0.020895,0.043143,0.031531,11.622924,0.606312,0.890365
finish_quintile,rated-only,LLR,,,40-60%,613,0.061687,0.014688,0.012927,0.043425,0.031592,12.662316,0.557912,0.856444
finish_quintile,rated-only,LLR,,,60-80%,604,0.066031,-0.003978,-0.006000,0.041143,0.029879,10.233444,0.548013,0.860927
finish_quintile,rated-only,LLR,,,bottom 20%,561,0.187733,-0.154158,-0.157552,0.066857,0.054179,8.333333,0.422460,0.700535
rating_quintile,all,LLR,,,top 20%,750,0.058159,-0.012931,-0.014490,0.042576,0.031904,10.180000,0.677333,0.918667
rating_quintile,all,LLR,,,20-40%,784,0.065972,-0.009079,-0.010863,0.045931,0.033730,16.585459,0.586735,0.875000
rating_quintile,all,LLR,,,40-60%,761,0.095425,-0.016967,-0.018979,0.050467,0.038261,19.327201,0.494087,0.797635
rating_quintile,all,LLR,,,60-80%,531,0.102547,-0.026616,-0.029377,0.048794,0.036913,17.427495,0.502825,0.792844
rating_quintile,all,LLR,,,bottom 20%,128,0.168996,-0.088898,-0.092453,0.054196,0.042014,11.406250,0.382813,0.695313
rating_quintile,rated-only,LLR,,,top 20%,566,0.054155,-0.010669,-0.012152,0.040283,0.030287,7.452297,0.712014,0.925795
rating_quintile,rated-only,LLR,,,20-40%,596,0.061946,-0.006813,-0.008509,0.044934,0.033049,11.765101,0.595638,0.895973
rating_quintile,rated-only,LLR,,,40-60%,601,0.085840,-0.018068,-0.019881,0.047584,0.035722,12.858569,0.567388,0.845258
rating_quintile,rated-only,LLR,,,60-80%,592,0.082615,-0.002837,-0.004784,0.049703,0.036760,10.777027,0.474662,0.790541
rating_quintile,rated-only,LLR,,,bottom 20%,600,0.125323,-0.043152,-0.046404,0.052890,0.040786,7.393333,0.461667,0.763333
