scope,mode,algorithm,project,group,bucket,n,mape,mpe,mpe_arith,mae,crps,rank_mae,coverage_1sigma,coverage_2sigma
overall,all,LLR,,,,2953,0.082860,-0.013332,-0.015912,0.047590,0.035215,15.610904,0.611243,0.884863
overall,rated-only,LLR,,,,2953,0.082766,-0.010831,-0.013403,0.047777,0.035350,10.087030,0.607856,0.882492
group,all,LLR,L2s Main LLR Backtesting,Open,,532,0.105001,-0.038812,-0.041383,0.048337,0.036311,9.588346,0.631579,0.907895
group,rated-only,LLR,L2s Main LLR Backtesting,Open,,532,0.104998,-0.038745,-0.041304,0.048336,0.036320,7.501880,0.633459,0.906015
group,all,LLR,L2s Main LLR Backtesting,Limited,,74,0.119801,-0.017015,-0.020756,0.073483,0.055571,2.148649,0.459459,0.770270
group,rated-only,LLR,L2s Main LLR Backtesting,Limited,,74,0.120866,0.019995,0.016387,0.077674,0.058719,1.229730,0.391892,0.729730
group,all,LLR,L2s Main LLR Backtesting,PCC,,329,0.075075,-0.015563,-0.017736,0.044653,0.033032,5.890578,0.589666,0.884498
group,rated-only,LLR,L2s Main LLR Backtesting,PCC,,329,0.075075,-0.015779,-0.017952,0.044673,0.033037,4.465046,0.592705,0.881459
group,all,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.077283,0.000533,-0.001965,0.049506,0.035854,23.803371,0.573034,0.879213
group,rated-only,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.077553,0.005710,0.003238,0.050286,0.036347,9.448034,0.558989,0.876404
group,all,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.073452,-0.004284,-0.006708,0.044663,0.033123,19.733945,0.633945,0.887156
group,rated-only,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.072951,-0.003427,-0.005849,0.044360,0.032942,15.734862,0.635780,0.887156
group,all,LLR,L2s Main LLR Backtesting,Production,,101,0.083413,-0.036171,-0.038867,0.046156,0.035410,2.346535,0.693069,0.861386
group,rated-only,LLR,L2s Main LLR Backtesting,Production,,101,0.083475,-0.036276,-0.038976,0.046204,0.035455,1.930693,0.702970,0.861386
group,all,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.116717,-0.038101,-0.044094,0.056715,0.042392,1.925373,0.626866,0.880597
group,rated-only,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.116656,-0.037319,-0.043573,0.056791,0.042447,1.686567,0.626866,0.880597
group,all,LLR,L2s Main LLR Backtesting,Revolver,,42,0.075932,-0.031187,-0.033880,0.042179,0.029795,1.571429,0.619048,0.904762
group,rated-only,LLR,L2s Main LLR Backtesting,Revolver,,42,0.075830,-0.030854,-0.033475,0.042143,0.029759,1.047619,0.619048,0.904762
group,all,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.123012,-0.089329,-0.097729,0.087777,0.065438,1.833333,0.666667,0.833333
group,rated-only,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.123047,-0.088075,-0.096507,0.088004,0.065294,1.000000,0.666667,0.833333
finish_quintile,all,LLR,,,top 20%,662,0.050039,0.033632,0.031677,0.044302,0.031551,6.959215,0.696375,0.941088
finish_quintile,all,LLR,,,20-40%,651,0.057603,0.022791,0.020597,0.044369,0.032395,12.778802,0.649770,0.912442
finish_quintile,all,LLR,,,40-60%,620,0.061617,0.010826,0.008494,0.042289,0.030201,16.503226,0.622581,0.919355
finish_quintile,all,LLR,,,60-80%,564,0.073310,-0.007481,-0.010147,0.043909,0.032000,18.684397,0.570922,0.881206
finish_quintile,all,LLR,,,bottom 20%,456,0.207263,-0.173168,-0.177432,0.068724,0.055356,27.199561,0.467105,0.721491
finish_quintile,rated-only,LLR,,,top 20%,574,0.050047,0.035956,0.034045,0.044703,0.032069,7.243902,0.693380,0.932056
finish_quintile,rated-only,LLR,,,20-40%,602,0.055931,0.027147,0.024996,0.044230,0.032062,11.651163,0.649502,0.923588
finish_quintile,rated-only,LLR,,,40-60%,612,0.062991,0.019892,0.017605,0.044386,0.031907,12.696078,0.612745,0.901961
finish_quintile,rated-only,LLR,,,60-80%,604,0.066163,0.002145,-0.000420,0.041271,0.029547,10.203642,0.600993,0.903974
