scope,mode,algorithm,project,group,bucket,n,mape,mpe,mpe_arith,mae,crps,rank_mae,coverage_1sigma,coverage_2sigma
overall,all,LLR,,,,2952,0.082330,-0.016982,-0.019162,0.047069,0.035219,15.565041,0.575542,0.851965
overall,rated-only,LLR,,,,2954,0.082053,-0.014420,-0.016581,0.047128,0.035263,10.015572,0.567705,0.850711
group,all,LLR,L2s Main LLR Backtesting,Open,,532,0.104348,-0.042965,-0.044951,0.047585,0.036233,9.597744,0.580827,0.866541
group,rated-only,LLR,L2s Main LLR Backtesting,Open,,532,0.104341,-0.042556,-0.044503,0.047620,0.036259,7.522556,0.573308,0.866541
group,all,LLR,L2s Main LLR Backtesting,Limited,,73,0.120290,-0.019237,-0.022535,0.073675,0.056241,2.136986,0.410959,0.753425
group,rated-only,LLR,L2s Main LLR Backtesting,Limited,,74,0.119792,0.017668,0.014476,0.076833,0.058953,1.189189,0.378378,0.702703
group,all,LLR,L2s Main LLR Backtesting,PCC,,329,0.074607,-0.018730,-0.020436,0.044112,0.033167,5.863222,0.528875,0.814590
group,rated-only,LLR,L2s Main LLR Backtesting,PCC,,330,0.074392,-0.018715,-0.020421,0.044013,0.033065,4.424242,0.530303,0.830303
group,all,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.076779,-0.004077,-0.006238,0.048867,0.035821,23.688202,0.542135,0.848315
group,rated-only,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.076538,0.000949,-0.001203,0.049261,0.036055,9.271067,0.526685,0.842697
group,all,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.072992,-0.007399,-0.009544,0.044355,0.033150,19.668807,0.611009,0.861468
group,rated-only,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.072475,-0.006452,-0.008576,0.044038,0.032931,15.658716,0.605505,0.860550
group,all,LLR,L2s Main LLR Backtesting,Production,,101,0.082922,-0.037431,-0.039692,0.045734,0.035515,2.425743,0.663366,0.841584
group,rated-only,LLR,L2s Main LLR Backtesting,Production,,101,0.082899,-0.037539,-0.039812,0.045705,0.035492,2.009901,0.663366,0.841584
group,all,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.116637,-0.048327,-0.053347,0.055425,0.041885,1.910448,0.567164,0.880597
group,rated-only,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.116810,-0.048498,-0.053531,0.055496,0.041969,1.671642,0.567164,0.880597
group,all,LLR,L2s Main LLR Backtesting,Revolver,,42,0.071614,-0.026809,-0.029026,0.040881,0.029154,1.571429,0.595238,0.928571
group,rated-only,LLR,L2s Main LLR Backtesting,Revolver,,42,0.071529,-0.026339,-0.028475,0.040853,0.029139,1.047619,0.595238,0.928571
group,all,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.128594,-0.099083,-0.106418,0.092032,0.069752,2.166667,0.666667,0.833333
group,rated-only,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.127386,-0.097529,-0.104845,0.091112,0.069308,1.333333,0.666667,0.833333
finish_quintile,all,LLR,,,top 20%,661,0.048312,0.029330,0.027749,0.042658,0.030687,6.872920,0.664145,0.916793
finish_quintile,all,LLR,,,20-40%,651,0.056590,0.019199,0.017423,0.043563,0.032077,12.741935,0.619048,0.886329
finish_quintile,all,LLR,,,40-60%,620,0.061115,0.007230,0.005355,0.041932,0.030269,16.446774,0.588710,0.877419
finish_quintile,all,LLR,,,60-80%,564,0.073430,-0.011272,-0.013538,0.043963,0.032485,18.648936,0.521277,0.842199
finish_quintile,all,LLR,,,bottom 20%,456,0.208236,-0.175747,-0.179684,0.069296,0.056387,27.182018,0.434211,0.686404
finish_quintile,rated-only,LLR,,,top 20%,575,0.047751,0.031402,0.029869,0.042531,0.030862,7.160000,0.660870,0.906087
finish_quintile,rated-only,LLR,,,20-40%,602,0.054876,0.023535,0.021813,0.043383,0.031654,11.526578,0.606312,0.900332
finish_quintile,rated-only,LLR,,,40-60%,612,0.062108,0.016261,0.014427,0.043729,0.031776,12.601307,0.573529,0.864379
finish_quintile,rated-only,LLR,,,60-80%,604,0.066217,-0.001608,-0.003745,0.041285,0.029878,10.211921,0.551325,0.865894
finish_quintile,rated-only,LLR,,,bottom 20%,561,0.185181,-0.149380,-0.153036,0.065858,0.053246,8.288770,0.442068,0.709447
rating_quintile,all,LLR,,,top 20%,750,0.058083,-0.011929,-0.013573,0.042557,0.031766,10.144000,0.690667,0.925333
rating_quintile,all,LLR,,,20-40%,783,0.065306,-0.006592,-0.008479,0.045633,0.033399,16.339719,0.596424,0.890166
rating_quintile,all,LLR,,,40-60%,760,0.095387,-0.016741,-0.018883,0.050454,0.038235,19.530263,0.513158,0.801316
rating_quintile,all,LLR,,,60-80%,531,0.101786,-0.021940,-0.024962,0.048852,0.036828,17.337100,0.514124,0.800377
rating_quintile,all,LLR,,,bottom 20%,128,0.170290,-0.091002,-0.094865,0.054799,0.042014,11.695313,0.398438,0.703125
rating_quintile,rated-only,LLR,,,top 20%,566,0.054893,-0.010928,-0.012481,0.040738,0.030569,7.439929,0.706714,0.931095
rating_quintile,rated-only,LLR,,,20-40%,596,0.061152,-0.004956,-0.006715,0.044462,0.032594,11.588926,0.602349,0.904362
rating_quintile,rated-only,LLR,,,40-60%,601,0.083233,-0.014314,-0.016179,0.046765,0.034942,12.727121,0.579035,0.851913
rating_quintile,rated-only,LLR,,,60-80%,592,0.085804,-0.002906,-0.004945,0.051054,0.037811,10.883446,0.471284,0.795608
rating_quintile,rated-only,LLR,,,bottom 20%,599,0.123621,-0.038623,-0.042175,0.052302,0.040155,7.305509,0.485810,0.774624
