scope,mode,algorithm,project,group,bucket,n,mape,mpe,mpe_arith,mae,crps,rank_mae,coverage_1sigma,coverage_2sigma
overall,all,LLR,,,,2954,0.082280,-0.015713,-0.018044,0.047133,0.035176,15.553148,0.583954,0.860867
overall,rated-only,LLR,,,,2954,0.082121,-0.013145,-0.015434,0.047268,0.035292,9.997292,0.578538,0.856466
group,all,LLR,L2s Main LLR Backtesting,Open,,532,0.104292,-0.042744,-0.044734,0.047608,0.036236,9.601504,0.578947,0.866541
group,rated-only,LLR,L2s Main LLR Backtesting,Open,,532,0.104277,-0.042745,-0.044734,0.047595,0.036233,7.530075,0.580827,0.866541
group,all,LLR,L2s Main LLR Backtesting,Limited,,74,0.118108,-0.018354,-0.021711,0.072419,0.055348,2.108108,0.445946,0.756757
group,rated-only,LLR,L2s Main LLR Backtesting,Limited,,74,0.119155,0.018477,0.015230,0.076523,0.058783,1.189189,0.378378,0.702703
group,all,LLR,L2s Main LLR Backtesting,PCC,,330,0.074403,-0.018498,-0.020249,0.044010,0.033024,5.842424,0.533333,0.827273
group,rated-only,LLR,L2s Main LLR Backtesting,PCC,,329,0.074606,-0.018439,-0.020178,0.044172,0.033156,4.428571,0.525836,0.826748
group,all,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.076787,0.000355,-0.002335,0.049158,0.035734,23.676966,0.571629,0.870787
group,rated-only,LLR,L2s Main LLR Backtesting,Limited Optics,,712,0.076788,0.005613,0.003060,0.049738,0.036147,9.183989,0.551966,0.862360
group,all,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.073011,-0.007195,-0.009368,0.044382,0.033156,19.665138,0.611927,0.866055
group,rated-only,LLR,L2s Main LLR Backtesting,Carry Optics,,1090,0.072531,-0.006195,-0.008351,0.044094,0.032962,15.660550,0.615596,0.863303
group,all,LLR,L2s Main LLR Backtesting,Production,,101,0.083064,-0.037497,-0.039773,0.045764,0.035525,2.445545,0.663366,0.851485
group,rated-only,LLR,L2s Main LLR Backtesting,Production,,101,0.083039,-0.037552,-0.039832,0.045737,0.035481,2.009901,0.663366,0.851485
group,all,LLR,L2s Main LLR Backtesting,Single Stack,,67,0.117293,-0.047407,-0.052564,0.055959,0.042182,1.985075,0.567164,0.880597
group,rated-only,LLR,L2s Main LLR Backtesting,Single Stack,,68,0.115486,-0.046659,-0.051791,0.055094,0.041571,1.720588,0.573529,0.882353
group,all,LLR,L2s Main LLR Backtesting,Revolver,,42,0.071817,-0.025907,-0.028179,0.041154,0.029315,1.571429,0.595238,0.928571
group,rated-only,LLR,L2s Main LLR Backtesting,Revolver,,42,0.071903,-0.026322,-0.028640,0.041194,0.029331,1.047619,0.595238,0.928571
group,all,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.126808,-0.095282,-0.103065,0.090747,0.068427,2.166667,0.666667,0.833333
group,rated-only,LLR,L2s Main LLR Backtesting,Limited 10,,6,0.126059,-0.093930,-0.101666,0.090191,0.068340,1.333333,0.666667,0.833333
finish_quintile,all,LLR,,,top 20%,663,0.048372,0.029891,0.028196,0.042717,0.030652,6.850679,0.675716,0.924585
finish_quintile,all,LLR,,,20-40%,650,0.057106,0.019999,0.018098,0.043970,0.032345,12.747692,0.623077,0.890769
finish_quintile,all,LLR,,,40-60%,620,0.061315,0.008187,0.006198,0.042077,0.030341,16.446774,0.595161,0.885484
finish_quintile,all,LLR,,,60-80%,565,0.073444,-0.009649,-0.012069,0.044001,0.032385,18.640708,0.529204,0.849558
finish_quintile,all,LLR,,,bottom 20%,456,0.206920,-0.172929,-0.177155,0.068818,0.055820,27.164474,0.447368,0.706140
finish_quintile,rated-only,LLR,,,top 20%,574,0.048154,0.032100,0.030462,0.042896,0.031046,7.144599,0.672474,0.912892
